id,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,y
4141,19.0,81.0,69.0,1023.8,1021.0,,,17.8,20.2,No,31.8,Yes
14522,9.0,33.0,17.0,1015.2,1011.5,,,23.5,31.2,No,0.0,No
14147,9.0,48.0,26.0,1022.1,1017.6,,1.0,21.6,28.8,No,0.0,No
12005,9.0,51.0,27.0,1026.9,1021.7,1.0,5.0,18.3,24.0,No,0.0,No
24067,9.0,99.0,44.0,,,,,19.3,26.6,No,0.0,No
19647,15.0,80.0,74.0,1016.7,1014.6,,,18.8,21.5,No,0.2,No
15412,,,,,,,,,,No,0.0,No
10920,,66.0,62.0,,,,,22.5,24.5,No,0.0,No
6118,17.0,84.0,51.0,1014.1,1012.1,5.0,,9.8,19.0,No,0.0,No
19835,7.0,90.0,86.0,1024.7,1020.9,,,22.5,22.7,No,0.0,No
20139,19.0,93.0,69.0,1021.8,1020.2,,,23.2,28.1,No,0.0,No
2904,11.0,47.0,23.0,1018.2,1015.6,,,20.1,27.7,No,0.0,No
22643,17.0,94.0,88.0,1021.3,1019.3,7.0,7.0,17.5,19.7,Yes,18.8,Yes
2687,22.0,100.0,92.0,1017.0,1012.3,8.0,6.0,10.6,11.5,Yes,21.0,Yes
24567,15.0,80.0,36.0,,,,,21.6,30.8,No,0.0,No
19869,63.0,95.0,77.0,1015.7,1017.6,,,13.5,16.8,Yes,24.4,Yes
17096,,81.0,,,,4.0,,22.0,,No,1.2,Yes
17402,,,,,,6.0,,,,No,0.0,No
2902,9.0,77.0,28.0,1013.2,1010.1,2.0,,20.7,31.0,No,0.0,No
15362,11.0,47.0,52.0,,,0.0,1.0,11.5,16.5,No,0.0,No
18049,35.0,95.0,92.0,1016.6,1016.7,,,20.9,20.0,Yes,0.0,No
1879,17.0,100.0,71.0,1025.0,1024.7,6.0,,11.3,17.4,Yes,0.0,No
21591,35.0,88.0,90.0,1012.0,1008.1,6.0,7.0,19.0,19.5,No,4.2,Yes
1994,9.0,70.0,49.0,1020.1,1017.2,5.0,7.0,8.2,15.5,No,0.0,No
15931,0.0,79.0,46.0,,,0.0,0.0,14.4,22.0,No,0.0,No
4570,17.0,84.0,43.0,1013.5,1010.2,,,6.1,15.9,,0.0,No
18484,17.0,44.0,40.0,1015.8,1017.5,,,13.4,15.7,No,0.0,No
20545,13.0,78.0,56.0,1022.0,1019.0,,,18.5,22.5,No,0.2,No
4247,13.0,72.0,40.0,1022.9,1019.5,,,9.4,15.2,No,0.0,No
5688,30.0,52.0,48.0,998.5,997.9,,,16.4,16.6,No,0.0,No
9223,15.0,71.0,75.0,1015.3,1011.7,3.0,6.0,22.8,23.4,No,2.8,Yes
12599,19.0,36.0,15.0,1011.7,1009.7,1.0,6.0,20.2,27.6,No,0.0,No
7932,19.0,30.0,13.0,1025.1,1021.8,0.0,1.0,14.9,20.6,No,0.0,No
15264,9.0,68.0,46.0,,,1.0,3.0,13.8,20.3,No,0.0,No
14826,11.0,69.0,62.0,,,5.0,3.0,23.6,27.6,No,0.0,No
13586,4.0,42.0,11.0,1021.6,1017.1,1.0,1.0,23.2,33.0,No,0.0,No
10595,44.0,61.0,61.0,1021.1,1014.8,6.0,1.0,21.8,23.9,No,0.0,No
8190,13.0,84.0,65.0,1022.1,1022.9,1.0,7.0,9.4,13.0,No,0.0,No
15775,,98.0,,,,8.0,,16.5,,Yes,35.0,Yes
4040,15.0,76.0,63.0,1015.7,1016.2,,,18.3,19.8,Yes,0.0,No
11146,24.0,60.0,54.0,1026.7,1025.9,5.0,,14.9,17.9,No,0.0,No
18476,35.0,67.0,68.0,1020.3,1020.6,,,16.6,18.0,Yes,0.6,No
17212,,76.0,,,,0.0,,23.8,,No,0.0,No
382,7.0,52.0,21.0,1018.1,1013.7,,,20.8,30.4,No,0.0,No
16757,19.0,74.0,57.0,,,7.0,7.0,19.6,23.5,No,0.0,No
10561,22.0,29.0,62.0,1009.1,1004.2,8.0,7.0,24.4,22.0,No,0.0,No
4459,4.0,82.0,57.0,1018.7,1013.9,,,18.7,24.8,No,0.0,No
24940,4.0,96.0,47.0,,,,,18.6,26.8,Yes,1.6,Yes
20934,20.0,64.0,51.0,1018.1,1017.0,2.0,1.0,19.6,20.0,No,0.0,No
22607,7.0,84.0,80.0,1019.3,1016.8,2.0,2.0,18.4,19.1,No,0.2,No
23334,31.0,63.0,53.0,1026.7,1023.9,8.0,2.0,17.1,16.8,No,0.3,No
5996,7.0,55.0,22.0,1014.5,1011.7,1.0,1.0,22.5,32.3,No,0.0,No
2276,6.0,100.0,100.0,1010.9,1009.1,8.0,8.0,12.2,12.6,Yes,22.4,Yes
7306,17.0,40.0,15.0,1016.7,1013.2,0.0,1.0,14.0,24.8,No,0.0,No
2948,9.0,81.0,59.0,1022.3,1016.9,1.0,2.0,15.8,22.8,No,9.6,Yes
22270,30.0,72.0,46.0,1013.3,1012.4,7.0,2.0,14.6,17.9,Yes,0.0,No
24612,7.0,80.0,63.0,,,,,20.1,22.8,No,0.6,No
10603,31.0,45.0,51.0,1026.2,1024.1,7.0,7.0,17.5,22.0,No,0.0,No
15512,15.0,71.0,28.0,,,4.0,6.0,23.5,36.5,No,0.0,No
24382,4.0,99.0,70.0,,,,,14.9,19.3,No,0.2,No
13167,30.0,46.0,25.0,1018.8,1016.6,0.0,4.0,10.3,16.0,No,0.0,No
4146,6.0,100.0,92.0,1014.5,1011.2,,,15.6,19.3,Yes,1.6,Yes
19831,28.0,84.0,72.0,1023.0,1021.0,,,17.9,19.7,Yes,0.0,No
16275,4.0,97.0,61.0,,,1.0,0.0,9.2,17.0,No,0.2,No
19657,19.0,62.0,62.0,1032.3,1030.6,,,16.8,18.0,Yes,0.0,No
3891,9.0,100.0,45.0,1010.9,1007.8,,,9.9,15.5,Yes,0.0,No
15623,0.0,72.0,49.0,,,1.0,0.0,11.5,16.2,No,0.0,No
7189,20.0,60.0,36.0,1028.4,1024.8,3.0,7.0,9.6,19.0,No,0.0,No
20739,26.0,68.0,55.0,1017.2,1016.2,5.0,2.0,18.3,19.2,Yes,0.0,No
3693,20.0,46.0,34.0,1009.8,1008.5,,,19.2,25.5,No,0.0,No
22852,24.0,84.0,72.0,1014.2,1010.5,7.0,3.0,19.2,22.7,Yes,6.4,Yes
6959,11.0,77.0,63.0,1015.2,1015.0,7.0,8.0,16.6,18.2,Yes,9.4,Yes
15189,6.0,81.0,85.0,,,8.0,8.0,19.5,19.9,Yes,5.0,Yes
4858,6.0,100.0,55.0,1012.5,1009.0,,,12.5,19.9,Yes,0.0,No
22917,43.0,58.0,63.0,1012.1,1011.1,2.0,2.0,17.6,18.8,Yes,0.0,No
7912,6.0,55.0,24.0,1021.7,1017.1,0.0,1.0,15.9,22.5,No,0.0,No
11255,17.0,77.0,79.0,1036.3,1034.0,8.0,8.0,18.0,19.5,No,2.6,Yes
24332,20.0,75.0,29.0,,,,,23.1,37.3,No,0.0,No
15630,,85.0,,,,0.0,,11.0,,No,0.0,No
944,22.0,84.0,50.0,1012.0,1012.3,,,7.4,16.7,Yes,0.0,No
17493,,70.0,,,,6.0,,23.8,,No,0.2,No
17683,,84.0,,,,6.0,,15.0,,Yes,0.6,No
5701,19.0,58.0,45.0,1021.7,1021.6,,,13.8,18.9,No,0.0,No
22569,24.0,59.0,54.0,1025.8,1023.8,3.0,4.0,15.6,15.8,Yes,0.6,No
12020,20.0,94.0,82.0,1013.7,1010.7,8.0,7.0,13.6,15.4,Yes,7.4,Yes
14288,9.0,49.0,23.0,1020.2,1015.7,,,23.9,32.5,No,0.0,No
16791,4.0,63.0,67.0,,,6.0,7.0,25.8,27.2,Yes,0.2,No
6861,7.0,46.0,26.0,1024.4,1020.3,2.0,7.0,14.3,20.3,No,0.0,No
13553,9.0,41.0,17.0,1011.1,1007.8,6.0,5.0,23.7,31.5,No,0.0,No
941,13.0,95.0,76.0,1011.9,1009.5,7.0,,7.6,9.7,Yes,1.2,Yes
5830,9.0,94.0,61.0,1017.5,1016.1,,,18.7,22.4,No,0.0,No
14258,11.0,49.0,19.0,1016.8,1013.1,1.0,3.0,26.3,34.6,No,0.0,No
16148,19.0,72.0,55.0,,,6.0,0.0,25.5,31.0,No,0.0,No
19993,31.0,61.0,68.0,1034.2,1029.8,,,19.5,22.1,No,0.0,No
619,19.0,86.0,68.0,1018.7,1017.8,8.0,3.0,7.0,12.0,No,0.2,No
6509,13.0,85.0,41.0,1032.8,1030.6,0.0,1.0,6.6,17.1,No,0.0,No
14506,13.0,70.0,37.0,1009.4,1007.1,,2.0,22.8,29.9,Yes,0.0,No
23273,26.0,83.0,66.0,1010.3,1008.8,6.0,2.0,17.6,18.3,Yes,3.0,Yes
17918,26.0,68.0,63.0,1027.6,1023.1,,,15.4,16.8,No,0.0,No
8078,13.0,56.0,25.0,1018.7,1015.7,1.0,3.0,25.0,33.4,No,0.0,No
13498,28.0,93.0,89.0,1014.2,1008.2,8.0,8.0,16.0,17.5,No,23.6,Yes
7703,9.0,20.0,17.0,1009.9,1007.2,3.0,6.0,30.9,37.4,No,0.0,No
18510,20.0,62.0,62.0,1016.1,1016.5,,,12.6,14.9,No,9.4,Yes
11576,28.0,44.0,38.0,1018.3,1015.6,,,13.6,16.6,No,0.0,No
12878,19.0,61.0,52.0,1017.3,1014.4,6.0,7.0,20.5,25.6,No,0.0,No
16944,4.0,99.0,65.0,,,6.0,6.0,15.1,18.5,Yes,0.2,No
24608,9.0,74.0,47.0,,,,,18.3,23.6,No,0.0,No
2851,9.0,57.0,20.0,1010.6,1007.5,,,22.4,32.8,No,0.0,No
10833,,58.0,40.0,,,,,16.6,20.2,No,0.0,No
22096,11.0,85.0,57.0,1015.3,1012.6,7.0,5.0,20.9,23.2,No,0.0,No
2043,30.0,81.0,52.0,1005.5,1006.8,4.0,5.0,16.1,20.9,No,1.0,No
17186,,69.0,,,,1.0,,22.0,,Yes,0.0,No
2069,15.0,58.0,21.0,1013.0,1010.1,,2.0,20.1,32.7,No,0.6,No
24424,15.0,86.0,98.0,,,,,14.3,13.0,Yes,6.0,Yes
21098,24.0,93.0,90.0,1018.6,1015.4,8.0,8.0,20.5,21.3,Yes,32.0,Yes
12885,24.0,34.0,19.0,1010.5,1008.5,0.0,1.0,23.1,29.5,No,0.0,No
22902,13.0,93.0,75.0,1013.1,1008.0,8.0,2.0,16.9,18.6,Yes,8.0,Yes
2953,9.0,100.0,64.0,1023.2,1020.7,8.0,8.0,10.0,19.0,No,0.0,No
4416,7.0,70.0,39.0,1024.4,1022.3,,,16.2,24.2,No,0.0,No
24961,7.0,75.0,35.0,,,,,24.0,34.3,No,0.0,No
2252,9.0,99.0,65.0,1033.3,1030.6,,1.0,3.5,13.3,No,0.0,No
9948,39.0,67.0,66.0,1017.5,1013.8,1.0,1.0,25.4,25.6,No,0.0,No
5142,9.0,68.0,31.0,1023.5,1021.3,,,14.5,24.1,No,0.0,No
24887,15.0,98.0,23.0,,,,,13.6,29.7,No,0.0,No
21048,28.0,71.0,65.0,1015.2,1014.0,5.0,3.0,22.3,23.9,No,3.6,Yes
20071,28.0,87.0,92.0,1009.9,1005.9,,,21.7,22.0,No,6.8,Yes
19357,17.0,80.0,69.0,1009.8,1005.3,,,22.2,24.0,No,0.0,No
11262,22.0,89.0,67.0,1026.7,1024.5,6.0,,19.9,23.7,Yes,0.0,No
22709,13.0,95.0,95.0,1014.0,1013.7,8.0,8.0,20.5,20.4,Yes,32.6,Yes
20244,30.0,73.0,69.0,1018.5,1015.1,,,16.1,19.1,No,4.6,Yes
24113,26.0,99.0,45.0,,,,,9.2,14.1,No,0.0,No
4153,15.0,65.0,62.0,1021.6,1022.4,,,16.2,16.6,No,0.0,No
11287,17.0,67.0,61.0,1016.5,1014.3,,,20.6,23.6,No,0.0,No
5024,15.0,62.0,33.0,1019.5,1013.4,,,21.5,30.4,No,0.0,No
20956,19.0,48.0,45.0,1019.8,1018.4,2.0,1.0,21.3,22.6,No,0.0,No
13132,9.0,94.0,84.0,1018.0,1016.1,8.0,8.0,13.5,14.2,Yes,0.2,No
15749,9.0,66.0,56.0,,,5.0,5.0,19.8,24.0,No,0.0,No
9939,28.0,46.0,62.0,1012.6,1011.8,3.0,7.0,28.7,25.6,No,0.0,No
1720,30.0,47.0,15.0,1013.9,1009.3,,,25.8,34.8,No,0.0,No
23761,7.0,95.0,78.0,,,,,13.6,15.6,Yes,0.4,No
11058,13.0,81.0,91.0,1015.4,1015.5,8.0,8.0,24.1,22.0,No,0.4,No
2530,19.0,51.0,19.0,1015.8,1014.7,,,21.5,29.9,No,0.0,No
15122,19.0,54.0,53.0,,,,5.0,26.2,31.0,No,0.0,No
19607,19.0,73.0,73.0,1020.7,1017.4,,,15.9,18.1,No,0.0,No
22486,11.0,71.0,78.0,1024.3,1021.8,2.0,7.0,19.0,17.4,No,14.8,Yes
18737,15.0,84.0,79.0,1018.4,1015.8,,,20.6,23.8,No,4.0,Yes
21094,20.0,71.0,58.0,1024.0,1021.8,6.0,7.0,19.6,21.3,No,0.4,No
6911,13.0,48.0,24.0,1022.1,1018.7,1.0,1.0,14.8,21.8,No,0.0,No
17912,15.0,56.0,58.0,1014.1,1011.7,,,15.4,17.4,No,0.0,No
1192,2.0,100.0,62.0,1017.3,1014.7,8.0,1.0,15.7,21.9,Yes,0.0,No
3500,9.0,89.0,94.0,1019.8,1017.3,,,15.1,15.1,Yes,5.2,Yes
20516,31.0,100.0,91.0,1012.1,1008.9,,,23.1,25.4,Yes,9.0,Yes
15094,2.0,76.0,58.0,,,4.0,1.0,23.5,29.5,No,2.0,Yes
20895,22.0,55.0,49.0,1016.9,1015.7,3.0,3.0,16.8,16.6,Yes,0.0,No
16581,9.0,90.0,59.0,,,6.0,5.0,16.0,21.0,Yes,8.6,Yes
9041,15.0,50.0,32.0,1007.3,1003.6,1.0,1.0,21.9,27.1,No,0.0,No
1921,28.0,80.0,86.0,1011.3,1003.0,8.0,8.0,11.9,11.9,No,8.6,Yes
24101,13.0,,54.0,,,,,,20.0,,3.2,Yes
19267,19.0,46.0,48.0,1015.5,1010.6,,,19.0,19.5,No,0.0,No
19888,24.0,96.0,96.0,1030.2,1030.7,,,14.4,14.7,Yes,7.8,Yes
3033,24.0,63.0,44.0,1009.4,1006.5,,,28.2,33.3,No,0.0,No
820,13.0,92.0,95.0,1012.3,1011.9,8.0,8.0,19.8,19.6,Yes,10.2,Yes
813,22.0,77.0,45.0,1012.9,1011.6,,,13.4,21.3,No,0.0,No
22072,31.0,62.0,62.0,1019.0,1017.1,7.0,6.0,22.1,22.7,No,1.0,No
23052,28.0,71.0,71.0,1020.9,1019.8,2.0,2.0,24.6,24.3,No,0.0,No
6932,20.0,75.0,52.0,1011.4,1011.1,6.0,7.0,21.1,24.4,Yes,0.0,No
2030,17.0,87.0,61.0,1013.5,1015.7,7.0,8.0,9.6,13.9,Yes,0.2,No
7238,19.0,49.0,33.0,1023.0,1021.0,6.0,7.0,12.2,16.0,No,0.0,No
12440,28.0,78.0,48.0,1022.5,1021.1,0.0,1.0,10.1,14.8,No,0.0,No
6688,11.0,53.0,25.0,1010.8,1008.6,2.0,5.0,26.6,35.1,No,5.0,Yes
2208,9.0,59.0,34.0,1025.8,1022.1,,,15.2,22.8,No,0.0,No
5374,13.0,70.0,70.0,1015.6,1016.7,,,20.7,19.8,No,0.0,No
15536,7.0,75.0,91.0,,,6.0,7.0,24.0,21.5,No,41.8,Yes
12913,15.0,89.0,91.0,1013.8,1013.1,7.0,7.0,20.6,19.7,Yes,2.0,Yes
24109,13.0,62.0,44.0,,,,,16.4,19.9,Yes,0.0,No
10353,17.0,88.0,80.0,1013.4,1013.4,8.0,2.0,22.4,25.6,No,0.0,No
3457,24.0,76.0,34.0,1008.3,1006.7,,,20.9,26.6,No,0.0,No
16990,9.0,78.0,52.0,,,5.0,1.0,7.0,14.5,No,0.0,No
7145,17.0,75.0,57.0,1017.2,1017.3,6.0,7.0,7.4,12.0,Yes,0.0,No
21070,28.0,77.0,62.0,1022.7,1021.0,7.0,7.0,21.7,23.5,Yes,0.2,No
14864,,90.0,,,,2.0,,18.0,,No,0.0,No
12681,19.0,56.0,27.0,1021.4,1017.2,1.0,3.0,24.1,32.8,No,0.0,No
7599,26.0,29.0,14.0,1011.0,1006.7,4.0,7.0,29.0,37.1,Yes,1.4,Yes
17294,,69.0,,,,1.0,,16.6,,No,0.0,No
17283,,84.0,,,,0.0,,18.6,,Yes,0.4,No
20917,26.0,63.0,58.0,1019.7,1018.9,3.0,7.0,18.6,17.3,No,0.0,No
2913,20.0,55.0,30.0,1018.3,1018.8,,,21.3,30.0,No,0.0,No
3760,13.0,90.0,54.0,1009.6,1007.9,,,20.5,27.8,No,0.4,No
21231,20.0,71.0,65.0,1026.0,1021.9,6.0,1.0,18.8,21.3,No,0.0,No
24996,6.0,84.0,44.0,,,,,21.3,29.0,No,0.0,No
16386,9.0,73.0,59.0,,,6.0,5.0,23.4,27.7,No,0.0,No
5993,22.0,60.0,34.0,1013.5,1011.7,3.0,4.0,25.6,32.9,Yes,0.8,No
11277,24.0,71.0,58.0,1023.6,1021.2,7.0,,19.7,23.5,Yes,0.0,No
14487,30.0,76.0,92.0,1013.5,1014.6,8.0,8.0,19.7,14.8,Yes,6.8,Yes
19212,7.0,82.0,67.0,1028.2,1025.7,,,13.8,17.2,No,1.4,Yes
17260,,,,,,,,,,No,0.0,No
16231,0.0,94.0,64.0,,,8.0,8.0,14.0,20.6,No,1.6,Yes
15743,2.0,71.0,58.0,,,1.0,3.0,21.5,25.6,No,0.0,No
10536,39.0,58.0,67.0,1021.8,1015.9,6.0,0.0,20.8,21.3,No,0.0,No
8770,13.0,35.0,18.0,1011.2,1007.8,,3.0,34.9,39.7,No,0.0,No
21037,13.0,74.0,91.0,1015.9,1015.0,7.0,7.0,23.3,22.6,No,2.2,Yes
15904,,,,,,,,,,No,28.6,Yes
15759,6.0,63.0,41.0,,,4.0,4.0,24.6,32.0,No,28.6,Yes
15274,0.0,99.0,87.0,,,8.0,6.0,14.6,17.7,Yes,2.0,Yes
11060,17.0,49.0,54.0,1020.1,1018.9,,,22.2,23.9,Yes,0.0,No
15993,15.0,74.0,53.0,,,0.0,0.0,11.5,16.2,Yes,0.0,No
20512,33.0,76.0,65.0,1010.9,1007.9,,,21.7,25.5,No,0.0,No
9994,39.0,56.0,57.0,1015.9,1011.6,1.0,1.0,24.9,26.5,No,0.6,No
7907,,,,,,2.0,3.0,11.2,17.8,No,0.6,No
8729,11.0,,,1015.4,1011.8,,,20.4,29.8,Yes,0.2,No
10112,15.0,73.0,78.0,1024.6,1021.0,4.0,6.0,20.0,20.0,Yes,0.6,No
14642,13.0,72.0,47.0,1015.1,1012.1,2.0,2.0,24.8,30.6,No,0.0,No
20007,26.0,84.0,57.0,1021.2,1021.0,,,16.6,19.4,Yes,0.2,No
18121,33.0,78.0,67.0,1019.6,1018.2,,,18.7,21.4,No,0.0,No
7755,6.0,93.0,58.0,1017.2,1014.0,8.0,7.0,18.2,24.9,Yes,0.0,No
24780,6.0,63.0,42.0,,,,,12.4,16.7,No,0.2,No
15151,7.0,79.0,25.0,,,2.0,1.0,25.7,38.0,No,0.0,No
22840,28.0,65.0,79.0,1027.0,1024.0,8.0,7.0,20.4,19.8,No,1.6,Yes
12943,9.0,58.0,34.0,1016.5,1012.6,1.0,4.0,22.4,29.0,No,0.0,No
9538,30.0,45.0,30.0,1014.7,1011.2,1.0,4.0,23.0,27.4,Yes,0.0,No
12158,19.0,39.0,12.0,1019.5,1015.1,0.0,1.0,19.0,25.7,No,0.0,No
8743,15.0,,,1013.8,1012.1,1.0,,23.5,31.1,No,0.0,No
23608,13.0,79.0,34.0,,,,,23.1,33.2,Yes,0.0,No
20529,31.0,99.0,85.0,1012.2,1007.5,,,23.2,26.2,No,0.0,No
18623,59.0,88.0,67.0,1011.3,1014.6,,,13.9,15.7,Yes,18.0,Yes
19389,35.0,84.0,81.0,1014.2,1008.2,,,22.0,23.1,No,5.4,Yes
24172,9.0,99.0,42.0,,,,,7.3,18.0,No,5.4,Yes
8058,13.0,53.0,29.0,1005.8,1002.0,3.0,6.0,27.0,34.3,No,1.8,Yes
14518,13.0,40.0,15.0,1017.3,1012.0,,,24.0,33.7,No,0.0,No
922,19.0,99.0,54.0,1021.5,1020.2,1.0,5.0,3.6,15.8,No,0.0,No
87,6.0,53.0,25.0,1016.2,1012.6,,,20.0,30.8,No,0.0,No
15011,11.0,93.0,52.0,,,8.0,6.0,14.6,22.5,Yes,6.0,Yes
4307,7.0,56.0,32.0,1032.9,1028.2,,,17.3,22.4,No,0.0,No
15606,6.0,87.0,66.0,,,6.0,4.0,16.4,18.6,Yes,0.4,No
15918,28.0,52.0,46.0,,,1.0,0.0,13.2,18.6,No,0.0,No
10429,6.0,63.0,53.0,1014.9,1012.2,1.0,6.0,16.8,18.9,No,0.0,No
20613,9.0,83.0,74.0,1025.3,1024.6,,,12.2,17.3,Yes,0.0,No
19891,15.0,70.0,63.0,1031.1,1027.1,,,15.8,18.0,No,0.2,No
503,9.0,78.0,49.0,1026.5,1023.0,,,10.4,16.9,No,0.0,No
24127,11.0,88.0,88.0,,,,,13.0,14.1,No,3.2,Yes
16374,46.0,34.0,15.0,,,0.0,0.0,23.5,33.8,No,0.0,No
3703,7.0,74.0,27.0,1013.8,1009.3,,,24.4,36.7,No,0.0,No
5089,13.0,62.0,45.0,1020.5,1016.9,,,20.2,24.4,No,0.0,No
12210,20.0,48.0,30.0,1013.4,1009.0,3.0,6.0,28.6,35.1,No,0.0,No
12023,17.0,64.0,37.0,1021.9,1019.6,3.0,2.0,17.5,23.5,No,0.0,No
12220,19.0,33.0,9.0,1012.4,1008.1,0.0,3.0,30.0,40.0,No,0.0,No
24448,4.0,92.0,40.0,,,,,4.8,16.9,No,0.0,No
124,19.0,72.0,37.0,1020.4,1016.5,,,12.9,21.2,No,0.0,No
13084,24.0,70.0,45.0,1021.2,1018.4,1.0,4.0,11.0,16.8,No,0.0,No
9123,31.0,48.0,45.0,1015.5,1015.8,2.0,5.0,14.5,17.5,No,0.0,No
12319,20.0,52.0,24.0,1021.4,1017.7,0.0,4.0,22.0,29.7,No,0.0,No
17542,,74.0,,,,6.0,,24.0,,No,10.6,Yes
20213,17.0,61.0,69.0,1017.2,1014.8,,,19.2,22.9,No,0.0,No
8599,9.0,93.0,68.0,1018.9,1015.7,1.0,,15.4,21.7,Yes,0.2,No
19181,31.0,89.0,92.0,1014.6,1010.1,,,14.6,16.2,No,7.2,Yes
5554,22.0,67.0,33.0,1017.9,1013.8,,,13.3,21.9,No,0.0,No
1613,15.0,78.0,58.0,1010.9,1011.5,8.0,8.0,10.4,14.0,Yes,0.6,No
1166,13.0,85.0,46.0,1022.4,1020.5,,,10.2,19.8,No,0.0,No
12273,,70.0,44.0,1008.9,1008.0,7.0,4.0,24.0,30.4,Yes,0.0,No
2458,15.0,39.0,17.0,1014.0,1011.2,,,24.0,33.4,No,0.0,No
14821,37.0,66.0,62.0,,,7.0,5.0,22.4,23.4,No,0.0,No
9840,28.0,62.0,56.0,1025.5,1024.0,0.0,0.0,17.5,19.7,No,0.0,No
15615,15.0,94.0,73.0,,,8.0,7.0,12.0,16.4,Yes,36.4,Yes
5236,9.0,100.0,65.0,1029.7,1024.8,,,7.0,16.8,No,0.8,No
9120,13.0,65.0,46.0,1009.6,1007.2,2.0,2.0,14.4,17.1,No,0.0,No
8944,9.0,69.0,57.0,1021.2,1020.1,6.0,7.0,20.9,21.7,Yes,0.0,No
7003,15.0,26.0,15.0,1014.0,1011.1,7.0,7.0,29.9,35.8,No,0.0,No
5589,19.0,78.0,49.0,1012.4,1007.1,,,9.5,15.8,No,0.0,No
23946,15.0,74.0,39.0,,,,,21.1,30.2,No,0.0,No
1204,22.0,94.0,89.0,1021.7,1019.5,7.0,8.0,14.2,15.8,No,1.6,Yes
8023,13.0,19.0,10.0,1016.3,1012.5,0.0,0.0,23.4,30.7,No,0.0,No
