id,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am
5029,2014-12-04,BadgerysCreek,19.4,31.6,7.4,,,SW,50.0,N,ENE,11.0
7270,2012-09-27,Cobar,14.3,34.9,0.0,8.0,,NNE,52.0,NNE,NNW,19.0
20534,2017-04-03,NorahHead,15.0,22.2,7.6,,,SSE,67.0,WSW,SSE,11.0
14615,2017-02-27,Moree,15.8,32.7,0.0,,,E,57.0,ESE,SE,13.0
21018,2010-02-05,NorfolkIsland,21.5,26.3,0.2,8.4,8.7,E,69.0,E,E,39.0
15922,2012-04-29,Newcastle,10.7,21.7,0.0,,,,,NW,SE,6.0
8077,2015-02-12,Cobar,23.1,35.1,0.0,6.4,,E,44.0,SSE,SSE,9.0
9476,2010-07-05,CoffsHarbour,7.0,18.5,0.0,1.8,6.2,SSW,31.0,SW,SSE,13.0
760,2011-01-09,Albury,20.1,33.0,0.0,,,ENE,61.0,SE,SSE,17.0
2726,2016-09-09,Albury,12.6,17.8,4.0,,,N,50.0,NNE,NE,20.0
3607,2010-09-25,BadgerysCreek,5.5,25.9,0.0,,,SW,26.0,W,SW,2.0
12764,2011-07-04,Moree,8.1,23.4,0.0,2.8,5.5,NNE,30.0,NE,WNW,17.0
4141,2012-04-17,BadgerysCreek,14.1,20.9,0.0,,,S,37.0,SW,S,11.0
14522,2016-11-26,Moree,13.5,33.0,0.0,,,W,31.0,E,ESE,13.0
14147,2015-10-24,Moree,16.0,30.7,0.0,,,NE,39.0,ENE,N,20.0
12005,2009-05-06,Moree,9.1,25.1,0.0,4.8,10.1,E,33.0,E,S,17.0
24067,2010-04-20,Penrith,15.3,27.3,0.0,,,ENE,20.0,,NE,0.0
19647,2014-10-11,NorahHead,15.4,22.2,0.0,,,NNE,30.0,,ENE,0.0
15412,2010-10-10,Newcastle,13.2,24.0,0.0,,,,,,,
10920,2014-09-30,CoffsHarbour,11.0,30.0,0.0,,,,,,,
6118,2009-06-29,Cobar,7.2,19.8,0.0,1.4,7.1,N,31.0,N,NW,13.0
19835,2015-04-17,NorahHead,20.6,24.1,0.0,,,SSE,35.0,S,S,6.0
20139,2016-03-04,NorahHead,20.6,29.2,0.2,,,NE,26.0,N,NE,13.0
2904,2017-03-07,Albury,16.8,29.9,0.0,,,SE,28.0,SE,ESE,20.0
22643,2014-10-17,NorfolkIsland,17.5,21.3,2.6,3.6,1.5,NE,35.0,NNE,NE,22.0
2687,2016-08-01,Albury,9.6,11.8,3.8,,,N,33.0,,N,0.0
24567,2011-11-06,Penrith,15.4,33.7,0.0,,,NW,33.0,NW,NW,6.0
19869,2015-05-22,NorahHead,13.5,17.5,2.4,,,S,96.0,WSW,S,17.0
17096,2015-10-17,Newcastle,16.8,25.2,0.0,,,,,SE,,19.0
17402,2016-08-29,Newcastle,5.2,20.8,0.0,,,,,,,0.0
2902,2017-03-05,Albury,19.2,32.4,0.0,,,SE,33.0,S,E,9.0
15362,2010-08-21,Newcastle,5.8,18.0,0.0,,,,,W,NW,4.0
18049,2010-01-14,NorahHead,20.0,22.5,18.0,,,NNE,52.0,SW,S,22.0
1879,2014-05-11,Albury,8.1,18.0,11.4,,,WNW,26.0,W,WNW,7.0
21591,2011-10-02,NorfolkIsland,17.3,20.2,0.8,2.4,0.5,N,65.0,NNE,N,28.0
1994,2014-09-04,Albury,0.2,16.3,0.0,,,WSW,24.0,SE,SSW,2.0
15931,2012-05-08,Newcastle,7.0,22.6,0.0,,,,,NW,,4.0
4570,2013-08-22,BadgerysCreek,-0.1,17.5,,,,WNW,43.0,NNE,NW,9.0
18484,2011-05-14,NorahHead,10.7,16.2,0.0,,,SW,39.0,WSW,SW,15.0
20545,2017-04-14,NorahHead,15.7,23.8,0.4,,,S,28.0,W,SSE,7.0
4247,2012-08-01,BadgerysCreek,3.2,15.8,0.0,,,S,37.0,WSW,SSW,9.0
5688,2016-09-30,BadgerysCreek,7.6,18.7,1.0,,,NW,52.0,NNW,NW,19.0
9223,2009-10-25,CoffsHarbour,15.6,26.0,0.0,5.0,9.3,SSW,63.0,SSE,ENE,9.0
12599,2010-12-21,Moree,8.1,28.9,0.0,9.2,13.0,S,39.0,SSE,S,11.0
7932,2014-09-20,Cobar,5.5,21.5,0.0,3.6,,SSE,33.0,SSE,S,17.0
15264,2010-05-15,Newcastle,7.5,21.7,0.0,,,,,,SE,0.0
14826,2009-03-03,Newcastle,20.2,28.0,0.0,,,,,NE,NE,4.0
13586,2013-12-19,Moree,18.1,34.8,0.0,14.4,13.0,ENE,41.0,NE,ENE,26.0
10595,2013-10-28,CoffsHarbour,15.6,25.7,0.0,6.0,7.8,NNE,61.0,NNW,NE,24.0
8190,2015-06-05,Cobar,6.7,13.4,0.0,3.0,,WNW,31.0,SW,SW,17.0
15775,2011-11-23,Newcastle,15.4,17.8,4.2,,,,,SE,,6.0
4040,2012-01-06,BadgerysCreek,17.8,21.9,1.8,,,SSE,31.0,S,SE,13.0
11146,2015-06-21,CoffsHarbour,9.7,18.6,0.0,,,SSW,37.0,WSW,S,22.0
18476,2011-05-05,NorahHead,13.1,18.9,5.0,,,S,59.0,SW,SSW,20.0
17212,2016-02-13,Newcastle,18.8,29.9,0.0,,,,,NE,,9.0
382,2009-12-20,Albury,12.0,31.3,0.0,,,NNW,31.0,SSE,ESE,7.0
16757,2014-11-04,Newcastle,15.1,24.5,0.0,,,,,NE,NE,4.0
10561,2013-09-24,CoffsHarbour,17.3,27.9,0.0,5.0,4.9,NNW,37.0,NW,NNE,13.0
4459,2013-05-01,BadgerysCreek,16.1,26.4,0.0,,,SE,24.0,,E,0.0
24940,2012-11-15,Penrith,15.6,29.4,2.0,,,ENE,20.0,NNE,S,4.0
20934,2009-11-13,NorfolkIsland,15.7,21.2,0.0,4.6,10.6,S,31.0,SSW,SW,19.0
22607,2014-09-11,NorfolkIsland,15.1,20.7,0.0,3.0,9.7,ENE,28.0,NE,WSW,15.0
23334,2016-09-08,NorfolkIsland,15.3,19.0,0.4,4.0,,S,50.0,SSE,SSE,24.0
5996,2009-02-27,Cobar,19.9,33.5,0.0,9.2,12.3,NE,39.0,ENE,N,26.0
2276,2015-06-17,Albury,11.3,12.6,11.6,,,W,20.0,S,WSW,2.0
7306,2012-11-02,Cobar,10.9,26.1,0.0,11.0,,S,39.0,S,S,17.0
2948,2017-04-24,Albury,11.0,23.3,0.0,,,ESE,17.0,ENE,SE,2.0
22270,2013-10-09,NorfolkIsland,13.5,18.8,2.2,3.2,7.7,,,SSE,S,4.0
24612,2011-12-21,Penrith,17.5,25.4,0.0,,,ESE,22.0,WSW,E,2.0
10603,2013-11-05,CoffsHarbour,13.6,23.1,0.0,9.2,5.7,S,48.0,SW,S,20.0
15512,2011-01-24,Newcastle,17.5,36.8,0.0,,,,,NE,NW,6.0
24382,2011-05-03,Penrith,12.0,19.9,0.2,,,WSW,22.0,,WSW,0.0
13167,2012-08-18,Moree,0.7,16.5,0.0,7.8,10.8,WSW,44.0,WNW,WSW,19.0
4146,2012-04-22,BadgerysCreek,12.7,19.8,1.2,,,WSW,11.0,NE,WSW,6.0
19831,2015-04-13,NorahHead,14.6,20.2,1.6,,,S,37.0,SW,S,11.0
16275,2013-07-03,Newcastle,6.6,18.5,0.2,,,,,,NE,0.0
19657,2014-10-21,NorahHead,15.5,18.6,1.2,,,ESE,35.0,ESE,E,20.0
3891,2011-08-08,BadgerysCreek,2.7,17.4,5.0,,,W,30.0,WNW,SSW,2.0
15623,2011-06-19,Newcastle,6.5,18.1,0.0,,,,,NW,,4.0
7189,2012-07-08,Cobar,4.4,19.2,0.0,2.2,,NE,39.0,ENE,NE,19.0
20739,2009-05-02,NorfolkIsland,16.4,20.3,11.4,4.2,9.9,S,61.0,S,S,26.0
3693,2010-12-21,BadgerysCreek,11.0,26.7,0.0,,,WSW,46.0,WNW,W,9.0
22852,2015-05-14,NorfolkIsland,17.8,23.1,10.8,3.8,7.2,W,87.0,N,NW,22.0
6959,2011-11-21,Cobar,13.8,21.6,2.6,2.0,,E,28.0,ESE,SW,13.0
15189,2010-03-01,Newcastle,13.2,21.4,14.2,,,,,SE,SE,19.0
4858,2014-06-14,BadgerysCreek,13.2,20.2,5.6,,,W,24.0,,W,0.0
22917,2015-07-18,NorfolkIsland,15.9,19.4,27.8,3.8,7.7,WNW,65.0,W,W,39.0
7912,2014-08-31,Cobar,7.2,23.1,0.0,3.0,,NE,22.0,NNE,SW,11.0
11255,2015-10-08,CoffsHarbour,17.0,20.0,0.0,,,SW,48.0,SW,SSE,24.0
24332,2011-02-11,Penrith,18.5,38.5,0.0,,,SE,39.0,SSE,NW,2.0
15630,2011-06-26,Newcastle,6.0,20.0,0.0,,,,,,,0.0
944,2011-08-11,Albury,3.4,16.8,2.8,,,SSE,37.0,SE,SE,4.0
17493,2016-11-29,Newcastle,19.4,26.2,0.0,,,,,,,0.0
17683,2017-06-19,Newcastle,13.0,20.3,20.0,,,,,W,,28.0
5701,2016-10-13,BadgerysCreek,10.7,19.2,0.0,,,SW,39.0,SSW,S,24.0
22569,2014-08-04,NorfolkIsland,13.7,16.8,2.4,1.8,8.9,SSE,48.0,S,SSE,24.0
12020,2009-05-21,Moree,12.9,17.3,8.8,4.8,0.0,ESE,41.0,S,ESE,11.0
14288,2016-04-06,Moree,17.3,33.2,0.0,,,NE,37.0,NE,WNW,30.0
16791,2014-12-08,Newcastle,19.2,31.0,20.2,,,,,NW,NE,4.0
6861,2011-08-15,Cobar,7.4,21.5,0.0,3.0,,E,20.0,E,ESE,9.0
13553,2013-11-10,Moree,16.9,32.5,0.0,14.4,9.5,SW,41.0,S,W,2.0
941,2011-08-08,Albury,7.1,12.3,8.2,,,WSW,24.0,S,W,6.0
5830,2017-03-09,BadgerysCreek,16.0,23.5,0.4,,,SSW,28.0,SSW,ESE,9.0
14258,2016-02-29,Moree,21.9,36.5,0.0,12.2,12.0,E,44.0,E,WSW,20.0
16148,2013-01-17,Newcastle,20.8,32.4,0.0,,,,,,SE,0.0
19993,2015-10-09,NorahHead,17.2,24.7,0.0,,,NE,41.0,NNE,NE,28.0
619,2010-08-21,Albury,6.3,12.9,0.0,,,WNW,39.0,WNW,W,17.0
6509,2010-07-26,Cobar,1.1,17.5,0.0,2.2,,SE,30.0,SSE,ESE,4.0
14506,2016-11-10,Moree,16.6,31.8,19.6,,,WSW,31.0,ESE,SSW,13.0
23273,2016-07-09,NorfolkIsland,15.5,19.5,2.4,,,WSW,61.0,SW,SW,26.0
17918,2009-08-19,NorahHead,9.7,19.6,0.0,,,NNE,44.0,NW,NE,6.0
8078,2015-02-13,Cobar,20.9,35.6,0.0,11.6,,ENE,37.0,ENE,ENE,17.0
13498,2013-09-16,Moree,15.8,18.8,1.0,7.6,0.0,NW,76.0,NE,NE,17.0
7703,2014-02-03,Cobar,24.7,39.5,0.0,14.2,,E,39.0,NE,SW,19.0
18510,2011-06-10,NorahHead,8.6,16.6,0.0,,,SW,43.0,WNW,SW,9.0
11576,2016-08-26,CoffsHarbour,4.9,17.5,0.0,,,SW,37.0,SW,S,22.0
12878,2011-10-27,Moree,16.0,27.1,0.2,6.6,10.4,NE,39.0,E,NE,26.0
16944,2015-05-17,Newcastle,10.5,19.8,12.0,,,,,,SE,0.0
24608,2011-12-17,Penrith,14.8,25.3,0.0,,,ESE,22.0,S,NE,2.0
2851,2017-01-12,Albury,14.5,35.0,0.0,,,S,20.0,SE,SSE,6.0
10833,2014-07-04,CoffsHarbour,6.5,20.9,0.0,,,,,,,
22096,2013-04-18,NorfolkIsland,17.1,23.4,0.0,1.8,7.4,W,22.0,,WNW,0.0
2043,2014-10-27,Albury,14.3,22.0,0.2,,,W,67.0,S,WSW,7.0
17186,2016-01-18,Newcastle,16.6,26.8,4.2,,,,,,,0.0
2069,2014-11-22,Albury,12.6,33.2,0.0,,,W,35.0,ESE,W,9.0
24424,2011-06-14,Penrith,12.0,16.0,4.4,,,SSW,43.0,SSW,SSW,17.0
21098,2010-04-26,NorfolkIsland,19.7,22.1,1.4,3.2,0.2,N,41.0,NE,NNE,19.0
12885,2011-11-03,Moree,12.0,29.8,0.0,9.4,13.0,SW,44.0,SSW,SW,7.0
22902,2015-07-03,NorfolkIsland,15.8,19.7,3.2,2.6,3.1,WSW,54.0,NNW,WNW,9.0
2953,2017-04-29,Albury,6.3,19.8,0.0,,,W,24.0,E,WNW,6.0
4416,2013-03-19,BadgerysCreek,9.5,25.3,0.0,,,E,30.0,SW,ENE,9.0
24961,2013-01-06,Penrith,20.1,35.7,0.0,,,SE,33.0,SSW,SSE,7.0
2252,2015-05-24,Albury,-0.2,13.9,0.0,,,SE,13.0,,ESE,0.0
9948,2011-11-19,CoffsHarbour,19.1,28.2,0.2,4.0,13.0,NE,57.0,N,NE,19.0
5142,2015-03-28,BadgerysCreek,8.0,24.9,0.0,,,E,30.0,SW,NNE,7.0
24887,2012-09-23,Penrith,7.8,30.6,0.0,,,NNW,41.0,N,W,7.0
21048,2010-03-07,NorfolkIsland,19.6,25.3,0.2,6.8,9.2,E,44.0,SE,E,26.0
20071,2015-12-26,NorahHead,18.8,24.2,0.6,,,NE,43.0,NE,NNE,24.0
19357,2013-12-11,NorahHead,19.8,25.0,0.0,,,SSE,37.0,SSW,E,6.0
11262,2015-10-15,CoffsHarbour,17.6,24.4,4.4,,,NE,33.0,SW,NE,7.0
22709,2014-12-22,NorfolkIsland,19.4,23.0,71.0,,0.2,E,39.0,WNW,ENE,9.0
20244,2016-06-17,NorahHead,12.5,19.4,0.0,,,N,39.0,NNW,N,17.0
24113,2010-06-09,Penrith,4.6,16.8,0.2,,,WNW,59.0,NE,W,9.0
4153,2012-04-29,BadgerysCreek,9.3,18.3,0.0,,,S,37.0,SSW,SE,19.0
11287,2015-11-10,CoffsHarbour,12.2,24.3,0.0,,,E,26.0,SE,E,9.0
5024,2014-11-29,BadgerysCreek,12.9,31.5,0.2,,,E,33.0,N,NE,4.0
20956,2009-12-05,NorfolkIsland,16.8,23.2,0.0,7.4,13.1,S,30.0,S,SSE,15.0
13132,2012-07-14,Moree,12.5,15.1,40.2,0.6,0.1,WNW,26.0,NW,NW,15.0
15749,2011-10-28,Newcastle,14.7,24.4,0.0,,,,,NE,NE,6.0
9939,2011-11-10,CoffsHarbour,18.3,31.5,0.0,5.0,7.7,NE,33.0,NNW,NE,17.0
1720,2013-12-03,Albury,15.1,37.1,0.0,,,W,44.0,SSE,NW,9.0
23761,2009-05-31,Penrith,11.7,18.0,9.2,,,NE,26.0,SSW,SSW,15.0
11058,2015-03-25,CoffsHarbour,22.0,24.8,0.0,,,S,37.0,S,SSW,26.0
2530,2016-02-26,Albury,14.9,31.2,0.2,,,WNW,33.0,,W,0.0
15122,2009-12-24,Newcastle,19.7,33.5,0.0,,,,,,NE,0.0
19607,2014-08-31,NorahHead,12.5,18.5,0.2,,,S,30.0,S,SSE,9.0
22486,2014-05-13,NorfolkIsland,14.9,20.8,0.2,1.8,2.8,NE,26.0,ENE,E,17.0
18737,2012-01-24,NorahHead,20.1,23.9,0.6,,,ENE,33.0,ESE,E,19.0
21094,2010-04-22,NorfolkIsland,16.3,22.2,0.4,3.4,8.1,SSE,33.0,ESE,SE,17.0
6911,2011-10-04,Cobar,9.0,23.3,0.0,4.6,,NE,33.0,NE,ESE,22.0
17912,2009-08-13,NorahHead,10.5,19.6,0.0,,,WNW,28.0,WNW,E,13.0
1192,2012-04-20,Albury,14.6,22.7,34.2,,,SW,19.0,SSE,E,7.0
3500,2010-06-04,BadgerysCreek,13.4,16.9,36.0,,,S,41.0,SW,SE,19.0
20516,2017-03-16,NorahHead,21.5,26.1,12.4,,,NE,54.0,ENE,NE,39.0
15094,2009-11-26,Newcastle,18.3,31.0,0.0,,,,,,NE,0.0
20895,2009-10-05,NorfolkIsland,14.1,18.2,7.8,3.4,8.0,SSE,41.0,SE,SE,22.0
16581,2014-05-12,Newcastle,11.9,22.2,15.7,,,,,,SE,0.0
9041,2009-04-26,CoffsHarbour,13.0,27.8,0.0,3.8,10.5,N,37.0,N,NW,15.0
1921,2014-06-23,Albury,5.8,12.2,0.0,,,NNE,52.0,NNE,N,20.0
24101,2010-05-28,Penrith,11.6,20.4,,,,NE,20.0,,NE,
19267,2013-09-12,NorahHead,11.9,21.5,0.0,,,S,78.0,WNW,E,4.0
19888,2015-06-10,NorahHead,12.7,16.8,6.2,,,SSE,50.0,SSE,S,11.0
3033,2009-01-23,BadgerysCreek,20.3,36.1,0.2,,,NE,43.0,E,ENE,6.0
820,2011-03-10,Albury,18.7,20.8,13.4,,,N,22.0,ENE,ENE,9.0
813,2011-03-03,Albury,8.4,22.3,0.0,,,WSW,37.0,ESE,WSW,4.0
22072,2013-03-25,NorfolkIsland,18.8,24.5,0.0,6.6,8.2,E,43.0,E,E,19.0
23052,2015-11-30,NorfolkIsland,20.7,25.0,0.0,3.8,11.4,ENE,44.0,NE,ENE,24.0
6932,2011-10-25,Cobar,17.3,27.0,2.8,11.2,,SSW,41.0,SSE,SW,7.0
2030,2014-10-14,Albury,7.3,18.1,3.2,,,ESE,41.0,WSW,S,11.0
7238,2012-08-26,Cobar,2.2,17.4,0.0,3.2,,SW,30.0,NW,SW,9.0
12440,2010-07-15,Moree,6.2,15.9,0.0,3.4,10.1,SSW,41.0,WSW,SW,24.0
6688,2011-01-21,Cobar,23.3,36.0,0.0,11.6,,SE,54.0,NE,NE,22.0
2208,2015-04-10,Albury,7.6,24.2,0.0,,,S,24.0,SSE,SW,9.0
5374,2015-11-21,BadgerysCreek,16.6,22.9,0.0,,,S,33.0,SW,E,2.0
15536,2011-02-17,Newcastle,21.1,32.2,0.0,,,,,,SE,0.0
12913,2011-12-01,Moree,20.1,24.8,7.0,6.6,5.7,SSW,41.0,SSW,SE,13.0
24109,2010-06-05,Penrith,13.3,20.3,8.4,,,WSW,33.0,SSW,SW,19.0
10353,2013-01-30,CoffsHarbour,21.5,26.4,0.2,2.8,9.0,SSW,35.0,SW,S,15.0
3457,2010-04-11,BadgerysCreek,14.2,27.8,0.0,,,SW,44.0,NNE,WNW,11.0
16990,2015-07-02,Newcastle,5.6,15.5,0.0,,,,,NW,NW,9.0
7145,2012-05-25,Cobar,3.9,13.5,1.6,1.0,,WSW,39.0,NW,WNW,19.0
21070,2010-03-29,NorfolkIsland,18.6,24.7,8.6,6.6,7.6,E,52.0,E,ESE,31.0
14864,2009-04-10,Newcastle,13.0,24.0,0.0,,,,,,,0.0
12681,2011-03-13,Moree,18.4,33.2,0.0,15.2,11.6,E,35.0,E,E,19.0
7599,2013-10-22,Cobar,21.8,38.1,5.0,13.0,,NW,69.0,N,NNW,19.0
17294,2016-05-13,Newcastle,12.8,25.2,0.0,,,,,N,,19.0
17283,2016-05-02,Newcastle,13.4,24.8,2.6,,,,,,,0.0
20917,2009-10-27,NorfolkIsland,16.7,20.2,0.0,8.0,10.0,SW,54.0,SW,S,28.0
2913,2017-03-17,Albury,19.3,31.2,0.0,,,SE,35.0,SE,SSE,20.0
3760,2011-02-27,BadgerysCreek,16.6,29.5,0.0,,,E,26.0,WNW,N,6.0
21231,2010-09-06,NorfolkIsland,16.8,21.9,0.0,4.4,8.8,N,44.0,NNE,N,20.0
24996,2013-03-10,Penrith,16.7,30.5,0.0,,,NE,24.0,ESE,N,4.0
16386,2013-10-22,Newcastle,18.6,28.2,0.0,,,,,SE,SE,9.0
5993,2009-02-24,Cobar,21.0,34.7,2.0,10.0,9.0,E,46.0,NNE,NW,15.0
11277,2015-10-30,CoffsHarbour,14.4,24.0,2.6,,,NNE,35.0,SSE,NE,13.0
14487,2016-10-22,Moree,17.6,21.4,28.4,,,NNE,54.0,NNE,SW,31.0
19212,2013-07-14,NorahHead,11.5,19.1,0.0,,,WSW,19.0,WSW,E,11.0
17260,2016-04-09,Newcastle,13.2,25.2,1.0,,,,,,,
16231,2013-05-13,Newcastle,11.4,21.0,0.2,,,,,SW,,4.0
15743,2011-10-22,Newcastle,16.0,26.5,0.0,,,,,SE,SE,2.0
10536,2013-08-30,CoffsHarbour,15.4,24.3,0.0,1.0,,NNE,57.0,N,NE,28.0
8770,2017-01-17,Cobar,27.1,43.4,0.0,,,NNW,54.0,N,NW,24.0
21037,2010-02-24,NorfolkIsland,19.5,24.1,0.0,5.2,0.3,NE,20.0,NE,S,11.0
15904,2012-04-11,Newcastle,13.2,19.8,0.0,,,,,,,
15759,2011-11-07,Newcastle,19.0,32.3,0.0,,,,,N,NW,4.0
15274,2010-05-25,Newcastle,12.4,18.0,10.6,,,,,,,0.0
11060,2015-03-27,CoffsHarbour,20.0,24.7,3.6,,,SSW,50.0,SW,SE,22.0
15993,2012-07-14,Newcastle,4.6,17.2,13.0,,,,,NW,NW,19.0
20512,2017-03-12,NorahHead,17.1,27.3,0.0,,,NE,54.0,N,NE,13.0
9994,2012-01-04,CoffsHarbour,19.6,28.6,0.0,7.4,10.0,NE,56.0,NNW,NNE,24.0
7907,2014-08-26,Cobar,7.3,18.9,0.4,4.4,,,,,,
8729,2016-12-07,Cobar,14.0,32.0,5.4,31.2,,SSE,41.0,ESE,S,9.0
10112,2012-05-02,CoffsHarbour,12.9,22.6,1.2,1.6,5.5,NE,30.0,NW,NW,13.0
14642,2017-03-26,Moree,22.5,32.1,0.0,,,E,33.0,NNE,NE,19.0
20007,2015-10-23,NorahHead,14.5,19.8,18.4,,,SSW,67.0,S,S,22.0
18121,2010-04-02,NorahHead,16.5,22.3,0.0,,,S,46.0,WSW,S,7.0
7755,2014-03-27,Cobar,17.6,26.9,4.2,3.2,,NE,39.0,NNE,E,11.0
24780,2012-06-07,Penrith,8.1,17.2,0.2,,,SW,24.0,SSW,S,11.0
15151,2010-01-22,Newcastle,21.6,39.0,0.0,,,,,SE,NE,2.0
22840,2015-05-02,NorfolkIsland,18.3,21.4,0.2,5.2,1.2,E,54.0,E,ENE,28.0
12943,2012-01-01,Moree,16.9,31.3,0.0,9.2,13.3,NE,33.0,NNE,SSE,17.0
9538,2010-09-05,CoffsHarbour,18.3,27.9,13.8,1.2,10.3,N,50.0,NNW,NNW,26.0
12158,2009-10-06,Moree,7.3,26.4,0.0,8.0,11.9,SW,35.0,E,WSW,7.0
8743,2016-12-21,Cobar,19.0,33.0,0.6,13.0,,SW,35.0,SSE,S,15.0
23608,2008-12-28,Penrith,17.2,34.9,1.8,,,NE,35.0,E,NNE,7.0
20529,2017-03-29,NorahHead,21.7,27.4,0.0,,,NE,41.0,N,NE,6.0
18623,2011-10-02,NorahHead,11.2,16.0,12.0,,,SSE,89.0,SE,S,52.0
19389,2014-01-24,NorahHead,20.7,24.6,0.2,,,N,48.0,N,N,22.0
24172,2010-08-09,Penrith,3.2,18.7,0.0,,,NE,20.0,WNW,N,6.0
8058,2015-01-24,Cobar,24.2,36.3,0.0,9.6,,NW,50.0,N,WSW,19.0
14518,2016-11-22,Moree,17.3,34.3,0.0,,,ENE,35.0,NNE,ESE,19.0
922,2011-07-20,Albury,0.3,16.7,0.2,,,SE,33.0,SE,SE,2.0
87,2009-02-27,Albury,15.4,32.6,0.0,,,W,24.0,,S,0.0
15011,2009-09-04,Newcastle,13.6,23.8,8.0,,,,,N,N,4.0
4307,2012-10-02,BadgerysCreek,8.0,22.8,0.0,,,E,24.0,W,E,7.0
15606,2011-06-02,Newcastle,13.2,20.2,4.0,,,,,,SW,0.0
15918,2012-04-25,Newcastle,10.2,19.3,0.4,,,,,NW,NW,19.0
10429,2013-05-15,CoffsHarbour,10.7,19.9,0.4,1.2,7.5,W,20.0,WSW,ENE,15.0
20613,2017-06-21,NorahHead,10.7,18.2,1.6,,,S,44.0,W,WSW,9.0
19891,2015-06-13,NorahHead,13.2,20.4,0.0,,,N,28.0,NW,NNE,6.0
503,2010-04-26,Albury,5.1,17.9,0.0,,,SSE,15.0,E,S,4.0
24127,2010-06-23,Penrith,10.0,15.1,1.0,,,SSW,24.0,SSE,SSW,11.0
16374,2013-10-10,Newcastle,13.8,34.4,0.0,,,,,NW,NW,9.0
3703,2011-01-01,BadgerysCreek,16.8,37.4,0.0,,,E,28.0,N,ENE,2.0
5089,2015-02-03,BadgerysCreek,14.9,25.9,0.2,,,ESE,26.0,S,ESE,13.0
12210,2009-11-27,Moree,24.7,36.6,0.0,14.4,11.7,NW,43.0,NNW,NW,28.0
12023,2009-05-24,Moree,11.1,23.7,0.0,4.2,9.8,E,37.0,E,ENE,11.0
12220,2009-12-07,Moree,19.7,41.2,0.0,11.4,13.1,NNE,43.0,NNE,NNW,28.0
24448,2011-07-08,Penrith,0.6,18.1,0.0,,,WNW,24.0,SSE,NW,4.0
124,2009-04-05,Albury,7.8,21.7,0.0,,,WSW,31.0,E,NW,6.0
13084,2012-05-27,Moree,4.2,17.6,0.0,3.4,9.9,SW,43.0,,SW,0.0
9123,2009-07-17,CoffsHarbour,7.5,18.2,0.0,1.2,9.0,SW,56.0,SW,SSW,28.0
12319,2010-03-16,Moree,15.3,31.8,0.0,8.6,11.6,S,35.0,E,S,19.0
