file_name,y
786.jpg,7
787.jpg,0
788.jpg,9
789.jpg,3
790.jpg,0
791.jpg,8
792.jpg,8
793.jpg,9
794.jpg,6
795.jpg,7
796.jpg,8
797.jpg,4
798.jpg,7
799.jpg,5
800.jpg,9
801.jpg,2
802.jpg,6
803.jpg,7
804.jpg,4
805.jpg,5
806.jpg,9
807.jpg,2
808.jpg,3
809.jpg,1
810.jpg,6
811.jpg,3
812.jpg,9
813.jpg,2
814.jpg,2
815.jpg,5
816.jpg,6
817.jpg,8
818.jpg,0
819.jpg,7
820.jpg,7
821.jpg,1
822.jpg,9
823.jpg,8
824.jpg,7
825.jpg,0
826.jpg,9
827.jpg,9
828.jpg,4
829.jpg,6
830.jpg,2
831.jpg,8
832.jpg,5
833.jpg,1
834.jpg,4
835.jpg,1
836.jpg,5
837.jpg,5
838.jpg,1
839.jpg,7
840.jpg,3
841.jpg,6
842.jpg,4
843.jpg,3
844.jpg,2
845.jpg,5
846.jpg,6
847.jpg,4
848.jpg,4
849.jpg,0
850.jpg,4
851.jpg,4
852.jpg,6
853.jpg,7
854.jpg,2
855.jpg,4
856.jpg,3
857.jpg,3
858.jpg,8
859.jpg,0
860.jpg,0
861.jpg,3
862.jpg,2
863.jpg,2
864.jpg,9
865.jpg,8
866.jpg,2
867.jpg,3
868.jpg,7
869.jpg,0
870.jpg,1
871.jpg,1
872.jpg,0
873.jpg,2
874.jpg,3
875.jpg,3
876.jpg,8
877.jpg,4
878.jpg,3
879.jpg,5
880.jpg,7
881.jpg,6
882.jpg,4
883.jpg,7
884.jpg,7
885.jpg,8
886.jpg,5
887.jpg,9
888.jpg,7
889.jpg,0
890.jpg,3
891.jpg,1
892.jpg,6
893.jpg,2
894.jpg,4
895.jpg,3
896.jpg,4
897.jpg,4
898.jpg,7
899.jpg,5
900.jpg,9
901.jpg,6
902.jpg,9
903.jpg,0
904.jpg,7
905.jpg,1
906.jpg,4
907.jpg,2
908.jpg,7
909.jpg,3
910.jpg,6
911.jpg,7
912.jpg,5
913.jpg,8
914.jpg,4
915.jpg,5
916.jpg,5
917.jpg,2
918.jpg,7
919.jpg,1
920.jpg,1
921.jpg,5
922.jpg,6
923.jpg,8
924.jpg,5
925.jpg,8
926.jpg,4
927.jpg,0
928.jpg,7
929.jpg,9
930.jpg,9
931.jpg,2
932.jpg,9
933.jpg,7
934.jpg,7
935.jpg,8
936.jpg,7
937.jpg,4
938.jpg,2
939.jpg,6
940.jpg,9
941.jpg,1
942.jpg,7
943.jpg,0
944.jpg,6
945.jpg,4
946.jpg,2
947.jpg,5
948.jpg,7
949.jpg,0
950.jpg,7
951.jpg,1
952.jpg,0
953.jpg,3
954.jpg,7
955.jpg,6
956.jpg,5
957.jpg,0
958.jpg,6
959.jpg,1
960.jpg,5
961.jpg,1
962.jpg,7
963.jpg,8
964.jpg,5
965.jpg,0
966.jpg,3
967.jpg,4
968.jpg,7
969.jpg,7
970.jpg,5
971.jpg,7
972.jpg,8
973.jpg,6
974.jpg,9
975.jpg,3
976.jpg,8
977.jpg,6
978.jpg,1
979.jpg,0
980.jpg,9
981.jpg,7
982.jpg,1
983.jpg,3
984.jpg,0
985.jpg,5
986.jpg,6
987.jpg,4
988.jpg,4
989.jpg,2
990.jpg,4
991.jpg,4
992.jpg,3
993.jpg,1
994.jpg,7
995.jpg,7
996.jpg,6
997.jpg,0
998.jpg,3
999.jpg,6
