Class,x0,x1,x2,x3,x4,x5
10,16,4,2,2,2,0
14,15,2,2,1,4,0
10,15,1,1,2,4,1
15,16,4,3,2,1,0
10,16,2,1,1,2,0
14,16,4,4,1,1,0
8,16,4,3,1,3,0
5,16,4,4,1,1,0
17,16,4,4,1,3,0
14,15,4,4,1,1,0
6,15,3,2,2,2,0
18,15,3,4,1,2,0
11,15,3,3,1,4,0
8,15,2,2,1,4,0
18,16,3,3,1,3,0
13,15,4,4,4,4,0
16,16,4,4,1,3,0
19,15,4,4,1,1,0
10,16,3,3,1,3,1
13,16,2,2,1,2,1
19,15,4,2,1,1,0
9,15,2,1,1,2,0
16,16,4,4,1,2,0
14,15,4,4,2,2,0
13,16,3,3,2,1,0
8,17,1,3,3,2,1
13,15,3,4,1,1,0
15,15,1,2,1,2,0
15,15,2,2,1,4,0
13,16,2,4,2,2,0
13,16,4,4,1,1,0
8,16,2,2,1,2,0
12,15,3,4,1,1,0
11,15,3,4,1,2,0
9,19,0,1,1,2,3
0,18,2,2,1,1,2
18,16,4,4,1,1,0
0,15,3,4,2,3,2
0,15,1,1,3,1,0
12,17,2,2,1,1,0
11,16,3,4,1,1,0
0,15,3,4,4,2,0
0,15,4,4,1,3,0
0,17,3,4,3,2,0
0,16,3,3,2,1,2
12,16,1,1,1,2,1
15,15,4,4,2,1,0
0,15,4,3,2,4,0
9,16,2,2,2,1,2
11,15,4,4,1,3,0
13,16,1,1,1,1,0
0,17,2,1,1,1,3
11,15,1,1,1,2,0
0,15,3,2,1,2,3
11,15,1,2,1,2,0
0,16,4,4,1,1,0
10,15,2,1,4,1,3
0,18,1,1,1,1,3
14,16,2,1,1,1,1
10,15,3,3,2,3,2
0,19,3,2,1,1,3
12,17,4,4,1,1,0
8,15,2,3,1,2,0
13,17,1,2,1,1,0
10,18,1,1,3,1,3
15,16,2,2,3,1,0
12,16,3,3,1,2,1
0,17,2,1,2,1,2
7,15,3,2,2,2,2
0,16,1,2,2,1,1
10,17,1,3,1,1,0
7,17,1,1,4,2,3
12,16,3,2,2,1,1
10,16,2,2,1,2,0
16,16,4,2,1,2,0
0,16,2,2,1,2,0
14,16,4,4,1,2,0
0,16,3,4,3,1,2
16,16,1,0,2,2,0
10,17,4,4,1,2,0
0,16,1,3,1,2,3
9,16,3,3,2,2,0
9,17,4,3,2,2,0
11,16,2,2,2,2,0
6,17,3,3,1,2,0
9,16,4,2,1,1,0
11,17,4,3,1,2,0
8,16,4,3,1,2,0
12,16,3,3,1,2,0
17,17,2,4,1,2,0
8,17,3,3,1,2,0
12,16,3,2,1,2,0
11,17,3,3,1,2,0
11,16,1,2,1,1,0
15,16,2,1,1,2,0
9,17,3,3,1,2,0
10,17,1,2,1,2,0
13,16,2,3,1,2,0
9,17,1,1,1,2,0
8,17,1,2,2,2,0
10,16,3,3,1,1,0
14,16,2,3,2,1,0
15,17,2,4,1,2,0
16,17,4,4,1,1,0
10,16,3,3,3,1,0
18,17,4,4,2,1,1
10,16,4,4,1,2,0
16,16,4,3,1,2,0
10,16,2,3,1,2,0
10,17,1,1,1,2,0
6,17,2,2,1,1,0
11,16,2,2,2,4,0
9,17,3,4,1,3,1
7,16,3,1,1,2,3
13,16,4,3,1,2,0
10,16,1,1,2,1,0
7,17,4,3,2,3,0
8,19,3,3,1,4,0
13,17,4,4,1,2,0
14,16,2,2,1,2,0
8,18,2,2,1,2,1
10,17,4,4,1,1,0
15,17,3,2,2,2,0
4,17,4,3,1,2,2
8,18,3,3,1,2,1
8,17,2,3,2,1,0
10,17,2,2,1,3,0
6,17,2,1,2,2,0
0,17,1,1,1,3,1
17,16,2,3,1,2,0
13,18,2,2,2,2,0
14,16,4,4,1,3,0
7,18,3,1,1,2,1
15,17,3,2,1,2,0
12,17,2,3,1,2,0
9,18,2,1,4,2,0
12,17,2,1,2,3,0
14,17,4,3,1,2,0
11,17,2,2,2,2,0
9,17,4,4,1,2,0
13,16,4,4,1,2,0
6,16,1,1,2,2,0
10,16,3,2,2,3,0
13,17,2,2,1,2,0
12,16,2,1,1,1,0
11,17,2,1,3,2,0
0,18,2,2,1,2,1
12,17,4,3,2,2,0
12,17,4,4,2,2,0
0,16,4,3,1,1,0
12,16,4,4,1,1,0
0,18,2,1,2,3,0
18,16,2,1,3,1,0
13,17,2,3,2,1,0
8,22,3,1,1,1,3
5,18,3,3,1,2,1
15,16,0,2,1,1,0
8,18,3,2,2,1,1
10,16,3,3,3,2,0
8,18,2,1,1,1,1
8,16,2,1,2,1,0
12,17,2,1,1,1,0
8,17,1,1,2,1,1
13,17,4,2,1,4,0
11,19,4,3,1,2,0
14,18,2,1,1,2,0
0,17,2,2,1,4,0
18,18,4,3,1,2,0
8,18,4,3,1,2,0
12,18,3,2,1,3,0
9,17,3,3,1,3,0
0,18,2,2,1,3,0
17,18,3,4,2,2,0
10,17,3,1,1,2,0
11,18,4,4,2,2,0
10,18,4,2,1,2,0
0,18,2,1,2,2,0
9,19,3,3,1,2,2
14,18,2,3,1,4,0
11,18,1,1,2,2,0
14,17,1,2,1,2,0
10,17,2,4,2,2,0
12,17,2,2,2,2,0
9,18,3,2,2,2,0
9,18,4,4,2,1,0
8,18,4,4,1,2,1
