x6,x7,x8,x9,x10,x11,x12
5,2,1,1,2,3,12
4,4,4,1,3,1,2
3,4,5,2,4,1,22
3,2,4,2,4,4,13
3,3,3,1,4,3,3
4,3,3,1,1,4,4
4,2,5,1,2,5,2
4,3,4,1,1,5,0
2,3,1,1,1,3,2
3,3,3,5,5,4,0
5,3,2,1,1,5,0
5,3,3,1,1,4,16
5,3,4,1,3,3,10
5,3,3,1,3,3,2
4,3,2,4,5,3,14
3,2,3,1,2,3,10
3,2,3,1,2,3,14
4,5,2,1,1,1,4
4,5,5,1,3,2,14
4,2,4,2,4,1,2
3,4,2,1,1,5,18
5,3,3,1,3,2,10
4,4,2,5,5,4,4
4,5,2,1,1,5,20
2,1,1,1,1,3,2
5,5,4,3,5,2,0
2,5,5,1,4,5,14
3,3,3,2,3,4,2
5,4,5,1,1,3,0
5,3,2,1,2,5,0
4,4,4,1,1,3,0
4,3,3,1,1,4,6
5,2,2,1,1,2,4
5,4,5,5,5,1,16
4,3,3,1,3,5,8
4,3,2,2,4,5,0
4,4,5,2,4,5,0
5,3,3,1,3,2,6
3,2,5,2,5,5,4
3,3,2,1,3,3,0
4,4,2,2,4,5,0
4,4,4,1,2,5,2
4,2,3,1,1,4,6
4,3,1,1,1,1,12
5,2,4,1,2,4,8
3,4,1,1,1,2,0
3,1,2,1,3,2,21
4,3,2,1,1,3,2
5,3,2,1,1,3,1
3,2,3,1,1,4,4
4,3,3,1,1,3,0
4,2,5,3,4,1,13
5,4,4,3,4,5,2
4,3,4,2,2,4,8
5,4,5,1,3,5,10
4,3,5,1,2,3,0
4,3,5,3,3,5,15
4,5,5,1,3,2,4
4,4,3,1,1,3,2
3,5,2,2,2,1,2
4,3,3,1,1,1,2
4,4,4,2,3,5,6
4,1,1,1,1,5,75
3,2,4,1,4,3,22
2,4,4,1,1,4,15
