id,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,y
316,0.31827,0.0,9.9,0,0.544,5.914,83.2,3.9986,4,304.0,18.4,390.7,18.33,17.8
252,0.08221,22.0,5.86,0,0.431,6.957,6.8,8.9067,7,330.0,19.1,386.09,3.53,29.6
261,0.53412,20.0,3.97,0,0.647,7.52,89.4,2.1398,5,264.0,13.0,388.37,7.26,43.1
63,0.1265,25.0,5.13,0,0.453,6.762,43.4,7.9809,8,284.0,19.7,395.58,9.5,25.0
247,0.19657,22.0,5.86,0,0.431,6.226,79.2,8.0555,7,330.0,19.1,376.14,10.15,20.5
50,0.08873,21.0,5.64,0,0.439,5.963,45.7,6.8147,4,243.0,16.8,395.56,13.45,19.7
459,6.80117,0.0,18.1,0,0.713,6.081,84.4,2.7175,24,666.0,20.2,396.9,14.7,20.0
25,0.84054,0.0,8.14,0,0.538,5.599,85.7,4.4546,4,307.0,21.0,303.42,16.51,13.9
442,5.66637,0.0,18.1,0,0.74,6.219,100.0,2.0048,24,666.0,20.2,395.69,16.59,18.4
251,0.21409,22.0,5.86,0,0.431,6.438,8.9,7.3967,7,330.0,19.1,377.07,3.59,24.8
306,0.07503,33.0,2.18,0,0.472,7.42,71.9,3.0992,7,222.0,18.4,396.9,6.47,33.4
193,0.02187,60.0,2.93,0,0.401,6.8,9.9,6.2196,1,265.0,15.6,393.37,5.03,31.1
274,0.05644,40.0,6.41,1,0.447,6.758,32.9,4.0776,4,254.0,17.6,396.9,3.53,32.4
375,19.6091,0.0,18.1,0,0.671,7.313,97.9,1.3163,24,666.0,20.2,396.9,13.44,15.0
258,0.66351,20.0,3.97,0,0.647,7.333,100.0,1.8946,5,264.0,13.0,383.29,7.79,36.0
146,2.15505,0.0,19.58,0,0.871,5.628,100.0,1.5166,5,403.0,14.7,169.27,16.65,15.6
350,0.06211,40.0,1.25,0,0.429,6.49,44.4,8.7921,1,335.0,19.7,396.9,5.98,22.9
472,3.56868,0.0,18.1,0,0.58,6.437,75.0,2.8965,24,666.0,20.2,393.37,14.36,23.2
114,0.14231,0.0,10.01,0,0.547,6.254,84.2,2.2565,6,432.0,17.8,388.74,10.45,18.5
209,0.43571,0.0,10.59,1,0.489,5.344,100.0,3.875,4,277.0,18.6,396.9,23.09,20.0
1,0.02731,0.0,7.07,0,0.469,6.421,78.9,4.9671,2,242.0,17.8,396.9,9.14,21.6
277,0.06127,40.0,6.41,1,0.447,6.826,27.6,4.8628,4,254.0,17.6,393.45,4.16,33.1
195,0.01381,80.0,0.46,0,0.422,7.875,32.0,5.6484,4,255.0,14.4,394.23,2.97,50.0
282,0.06129,20.0,3.33,1,0.4429,7.645,49.7,5.2119,5,216.0,14.9,377.07,3.01,46.0
299,0.05561,70.0,2.24,0,0.4,7.041,10.0,7.8278,5,358.0,14.8,371.58,4.74,29.0
266,0.7857,20.0,3.97,0,0.647,7.014,84.6,2.1329,5,264.0,13.0,384.07,14.79,30.7
28,0.77299,0.0,8.14,0,0.538,6.495,94.4,4.4547,4,307.0,21.0,387.94,12.8,18.4
388,14.3337,0.0,18.1,0,0.7,4.88,100.0,1.5895,24,666.0,20.2,372.92,30.62,10.2
353,0.01709,90.0,2.02,0,0.41,6.728,36.1,12.1265,5,187.0,17.0,384.46,4.5,30.1
300,0.04417,70.0,2.24,0,0.4,6.871,47.4,7.8278,5,358.0,14.8,390.86,6.07,24.8
408,7.40389,0.0,18.1,0,0.597,5.617,97.9,1.4547,24,666.0,20.2,314.64,26.4,17.2
275,0.09604,40.0,6.41,0,0.447,6.854,42.8,4.2673,4,254.0,17.6,396.9,2.98,32.0
410,51.1358,0.0,18.1,0,0.597,5.757,100.0,1.413,24,666.0,20.2,2.6,10.11,15.0
449,7.52601,0.0,18.1,0,0.713,6.417,98.3,2.185,24,666.0,20.2,304.21,19.31,13.0
6,0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,311.0,15.2,395.6,12.43,22.9
369,5.66998,0.0,18.1,1,0.631,6.683,96.8,1.3567,24,666.0,20.2,375.33,3.73,50.0
8,0.21124,12.5,7.87,0,0.524,5.631,100.0,6.0821,5,311.0,15.2,386.63,29.93,16.5
405,67.9208,0.0,18.1,0,0.693,5.683,100.0,1.4254,24,666.0,20.2,384.97,22.98,5.0
451,5.44114,0.0,18.1,0,0.713,6.655,98.2,2.3552,24,666.0,20.2,355.29,17.73,15.2
298,0.06466,70.0,2.24,0,0.4,6.345,20.1,7.8278,5,358.0,14.8,368.24,4.97,22.5
225,0.52693,0.0,6.2,0,0.504,8.725,83.0,2.8944,8,307.0,17.4,382.0,4.63,50.0
100,0.14866,0.0,8.56,0,0.52,6.727,79.9,2.7778,5,384.0,20.9,394.76,9.42,27.5
309,0.3494,0.0,9.9,0,0.544,5.972,76.7,3.1025,4,304.0,18.4,396.24,9.97,20.3
396,5.87205,0.0,18.1,0,0.693,6.405,96.0,1.6768,24,666.0,20.2,396.9,19.37,12.5
52,0.0536,21.0,5.64,0,0.439,6.511,21.1,6.8147,4,243.0,16.8,396.9,5.28,25.0
273,0.22188,20.0,6.96,1,0.464,7.691,51.8,4.3665,3,223.0,18.6,390.77,6.58,35.2
117,0.15098,0.0,10.01,0,0.547,6.021,82.6,2.7474,6,432.0,17.8,394.51,10.3,19.2
134,0.97617,0.0,21.89,0,0.624,5.757,98.4,2.346,4,437.0,21.2,262.76,17.31,15.6
505,0.04741,0.0,11.93,0,0.573,6.03,80.8,2.505,1,273.0,21.0,396.9,7.88,11.9
38,0.17505,0.0,5.96,0,0.499,5.966,30.2,3.8473,5,279.0,19.2,393.43,10.13,24.7
35,0.06417,0.0,5.96,0,0.499,5.933,68.2,3.3603,5,279.0,19.2,396.9,9.68,18.9
24,0.75026,0.0,8.14,0,0.538,5.924,94.1,4.3996,4,307.0,21.0,394.33,16.3,15.6
91,0.03932,0.0,3.41,0,0.489,6.405,73.9,3.0921,2,270.0,17.8,393.55,8.2,22.0
301,0.03537,34.0,6.09,0,0.433,6.59,40.4,5.4917,7,329.0,16.1,395.75,9.5,22.0
380,88.9762,0.0,18.1,0,0.671,6.968,91.9,1.4165,24,666.0,20.2,396.9,17.21,10.4
240,0.11329,30.0,4.93,0,0.428,6.897,54.3,6.3361,6,300.0,16.6,391.25,11.38,22.0
196,0.04011,80.0,1.52,0,0.404,7.287,34.1,7.309,2,329.0,12.6,396.9,4.08,33.3
443,9.96654,0.0,18.1,0,0.74,6.485,100.0,1.9784,24,666.0,20.2,386.73,18.85,15.4
469,13.0751,0.0,18.1,0,0.58,5.713,56.7,2.8237,24,666.0,20.2,396.9,14.76,20.1
118,0.13058,0.0,10.01,0,0.547,5.872,73.1,2.4775,6,432.0,17.8,338.63,15.37,20.4
288,0.0459,52.5,5.32,0,0.405,6.315,45.6,7.3172,6,293.0,16.6,396.9,7.6,22.3
127,0.25915,0.0,21.89,0,0.624,5.693,96.0,1.7883,4,437.0,21.2,392.11,17.19,16.2
411,14.0507,0.0,18.1,0,0.597,6.657,100.0,1.5275,24,666.0,20.2,35.05,21.22,17.2
53,0.04981,21.0,5.64,0,0.439,5.998,21.4,6.8147,4,243.0,16.8,396.9,8.43,23.4
467,4.42228,0.0,18.1,0,0.584,6.003,94.5,2.5403,24,666.0,20.2,331.29,21.32,19.1
271,0.16211,20.0,6.96,0,0.464,6.24,16.3,4.429,3,223.0,18.6,396.9,6.59,25.2
54,0.0136,75.0,4.0,0,0.41,5.888,47.6,7.3197,3,469.0,21.1,396.9,14.8,18.9
357,3.8497,0.0,18.1,1,0.77,6.395,91.0,2.5052,24,666.0,20.2,391.34,13.27,21.7
64,0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216.0,18.6,393.24,8.05,33.0
482,5.73116,0.0,18.1,0,0.532,7.061,77.0,3.4106,24,666.0,20.2,395.28,7.01,25.0
256,0.01538,90.0,3.75,0,0.394,7.454,34.2,6.3361,3,244.0,15.9,386.34,3.11,44.0
395,8.71675,0.0,18.1,0,0.693,6.471,98.8,1.7257,24,666.0,20.2,391.98,17.12,13.1
429,9.33889,0.0,18.1,0,0.679,6.38,95.6,1.9682,24,666.0,20.2,60.72,24.08,9.5
157,1.22358,0.0,19.58,0,0.605,6.943,97.4,1.8773,5,403.0,14.7,363.43,4.59,41.3
34,1.61282,0.0,8.14,0,0.538,6.096,96.9,3.7598,4,307.0,21.0,248.31,20.34,13.5
424,8.79212,0.0,18.1,0,0.584,5.565,70.6,2.0635,24,666.0,20.2,3.65,17.16,11.7
161,1.46336,0.0,19.58,0,0.605,7.489,90.8,1.9709,5,403.0,14.7,374.43,1.73,50.0
62,0.11027,25.0,5.13,0,0.453,6.456,67.8,7.2255,8,284.0,19.7,396.9,6.73,22.2
66,0.04379,80.0,3.37,0,0.398,5.787,31.1,6.6115,4,337.0,16.1,396.9,10.24,19.4
381,15.8744,0.0,18.1,0,0.671,6.545,99.1,1.5192,24,666.0,20.2,396.9,21.08,10.9
276,0.10469,40.0,6.41,1,0.447,7.267,49.0,4.7872,4,254.0,17.6,389.25,6.05,33.2
409,14.4383,0.0,18.1,0,0.597,6.852,100.0,1.4655,24,666.0,20.2,179.36,19.78,27.5
149,2.73397,0.0,19.58,0,0.871,5.597,94.9,1.5257,5,403.0,14.7,351.85,21.45,15.4
423,7.05042,0.0,18.1,0,0.614,6.103,85.1,2.0218,24,666.0,20.2,2.52,23.29,13.4
290,0.03502,80.0,4.95,0,0.411,6.861,27.9,5.1167,4,245.0,19.2,396.9,3.33,28.5
30,1.13081,0.0,8.14,0,0.538,5.713,94.1,4.233,4,307.0,21.0,360.17,22.6,12.7
445,10.6718,0.0,18.1,0,0.74,6.459,94.8,1.9879,24,666.0,20.2,43.06,23.98,11.8
361,3.83684,0.0,18.1,0,0.77,6.251,91.1,2.2955,24,666.0,20.2,350.65,14.19,19.9
110,0.10793,0.0,8.56,0,0.52,6.195,54.4,2.7778,5,384.0,20.9,393.49,13.0,21.7
321,0.18159,0.0,7.38,0,0.493,6.376,54.3,4.5404,5,287.0,19.6,396.9,6.87,23.1
279,0.21038,20.0,3.33,0,0.4429,6.812,32.2,4.1007,5,216.0,14.9,396.9,4.85,35.1
292,0.03615,80.0,4.95,0,0.411,6.63,23.4,5.1167,4,245.0,19.2,396.9,4.7,27.9
60,0.14932,25.0,5.13,0,0.453,5.741,66.2,7.2254,8,284.0,19.7,395.11,13.15,18.7
214,0.28955,0.0,10.59,0,0.489,5.412,9.8,3.5875,4,277.0,18.6,348.93,29.55,23.7
72,0.09164,0.0,10.81,0,0.413,6.065,7.8,5.2873,4,305.0,19.2,390.91,5.52,22.8
82,0.03659,25.0,4.86,0,0.426,6.302,32.2,5.4007,4,281.0,19.0,396.9,6.72,24.8
131,1.19294,0.0,21.89,0,0.624,6.326,97.7,2.271,4,437.0,21.2,396.9,12.26,19.6
105,0.13262,0.0,8.56,0,0.52,5.851,96.7,2.1069,5,384.0,20.9,394.05,16.47,19.5
224,0.31533,0.0,6.2,0,0.504,8.266,78.3,2.8944,8,307.0,17.4,385.05,4.14,44.8
208,0.13587,0.0,10.59,1,0.489,6.064,59.1,4.2392,4,277.0,18.6,381.32,14.66,24.4
297,0.14103,0.0,13.92,0,0.437,5.79,58.0,6.32,4,289.0,16.0,396.9,15.84,20.3
324,0.34109,0.0,7.38,0,0.493,6.415,40.1,4.7211,5,287.0,19.6,396.9,6.12,25.0
254,0.04819,80.0,3.64,0,0.392,6.108,32.0,9.2203,1,315.0,16.4,392.89,6.57,21.9
207,0.25199,0.0,10.59,0,0.489,5.783,72.7,4.3549,4,277.0,18.6,389.43,18.06,22.5
61,0.17171,25.0,5.13,0,0.453,5.966,93.4,6.8185,8,284.0,19.7,378.08,14.44,16.0
153,2.14918,0.0,19.58,0,0.871,5.709,98.5,1.6232,5,403.0,14.7,261.95,15.79,19.4
41,0.12744,0.0,6.91,0,0.448,6.77,2.9,5.7209,3,233.0,17.9,385.41,4.84,26.6
189,0.0837,45.0,3.44,0,0.437,7.185,38.9,4.5667,5,398.0,15.2,396.9,5.39,34.9
318,0.40202,0.0,9.9,0,0.544,6.382,67.2,3.5325,4,304.0,18.4,395.21,10.36,23.1
285,0.01096,55.0,2.25,0,0.389,6.453,31.9,7.3073,1,300.0,15.3,394.72,8.23,22.0
391,5.29305,0.0,18.1,0,0.7,6.051,82.5,2.1678,24,666.0,20.2,378.38,18.76,23.2
184,0.08308,0.0,2.46,0,0.488,5.604,89.8,2.9879,3,193.0,17.8,391.0,13.98,26.4
77,0.08707,0.0,12.83,0,0.437,6.14,45.8,4.0905,5,398.0,18.7,386.96,10.27,20.8
439,9.39063,0.0,18.1,0,0.74,5.627,93.9,1.8172,24,666.0,20.2,396.9,22.88,12.8
205,0.13642,0.0,10.59,0,0.489,5.891,22.3,3.9454,4,277.0,18.6,396.9,10.87,22.6
217,0.07013,0.0,13.89,0,0.55,6.642,85.1,3.4211,5,276.0,16.4,392.78,9.69,28.7
69,0.12816,12.5,6.07,0,0.409,5.885,33.0,6.498,4,345.0,18.9,396.9,8.79,20.9
493,0.17331,0.0,9.69,0,0.585,5.707,54.0,2.3817,6,391.0,19.2,396.9,12.01,21.8
444,12.8023,0.0,18.1,0,0.74,5.854,96.6,1.8956,24,666.0,20.2,240.52,23.79,10.8
198,0.03768,80.0,1.52,0,0.404,7.274,38.3,7.309,2,329.0,12.6,392.2,6.62,34.6
9,0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311.0,15.2,386.71,17.1,18.9
389,8.15174,0.0,18.1,0,0.7,5.39,98.9,1.7281,24,666.0,20.2,396.9,20.85,11.5
143,4.0974,0.0,19.58,0,0.871,5.468,100.0,1.4118,5,403.0,14.7,396.9,26.42,15.6
55,0.01311,90.0,1.22,0,0.403,7.249,21.9,8.6966,5,226.0,17.9,395.93,4.81,35.4
129,0.88125,0.0,21.89,0,0.624,5.637,94.7,1.9799,4,437.0,21.2,396.9,18.34,14.3
432,6.44405,0.0,18.1,0,0.584,6.425,74.8,2.2004,24,666.0,20.2,97.95,12.03,16.1
447,9.92485,0.0,18.1,0,0.74,6.251,96.6,2.198,24,666.0,20.2,388.52,16.44,12.6
382,9.18702,0.0,18.1,0,0.7,5.536,100.0,1.5804,24,666.0,20.2,396.9,23.6,11.3
75,0.09512,0.0,12.83,0,0.437,6.286,45.0,4.5026,5,398.0,18.7,383.23,8.94,21.4
45,0.17142,0.0,6.91,0,0.448,5.682,33.8,5.1004,3,233.0,17.9,396.9,10.21,19.3
126,0.38735,0.0,25.65,0,0.581,5.613,95.6,1.7572,2,188.0,19.1,359.29,27.26,15.7
237,0.51183,0.0,6.2,0,0.507,7.358,71.6,4.148,8,307.0,17.4,390.07,4.73,31.5
160,1.27346,0.0,19.58,1,0.605,6.25,92.6,1.7984,5,403.0,14.7,338.92,5.5,27.0
330,0.04544,0.0,3.24,0,0.46,6.144,32.2,5.8736,4,430.0,16.9,368.57,9.09,19.8
31,1.35472,0.0,8.14,0,0.538,6.072,100.0,4.175,4,307.0,21.0,376.73,13.04,14.5
365,4.55587,0.0,18.1,0,0.718,3.561,87.9,1.6132,24,666.0,20.2,354.7,7.12,27.5
477,15.0234,0.0,18.1,0,0.614,5.304,97.3,2.1007,24,666.0,20.2,349.48,24.91,12.0
368,4.89822,0.0,18.1,0,0.631,4.97,100.0,1.3325,24,666.0,20.2,375.52,3.26,50.0
283,0.01501,90.0,1.21,1,0.401,7.923,24.8,5.885,1,198.0,13.6,395.52,3.16,50.0
494,0.27957,0.0,9.69,0,0.585,5.926,42.6,2.3817,6,391.0,19.2,396.9,13.59,24.5
123,0.15038,0.0,25.65,0,0.581,5.856,97.0,1.9444,2,188.0,19.1,370.31,25.41,17.3
11,0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311.0,15.2,396.9,13.27,18.9
281,0.03705,20.0,3.33,0,0.4429,6.968,37.2,5.2447,5,216.0,14.9,392.23,4.59,35.4
51,0.04337,21.0,5.64,0,0.439,6.115,63.0,6.8147,4,243.0,16.8,393.97,9.43,20.5
463,5.82115,0.0,18.1,0,0.713,6.513,89.9,2.8016,24,666.0,20.2,393.82,10.29,20.2
78,0.05646,0.0,12.83,0,0.437,6.232,53.7,5.0141,5,398.0,18.7,386.4,12.34,21.2
448,9.32909,0.0,18.1,0,0.713,6.185,98.7,2.2616,24,666.0,20.2,396.9,18.13,14.1
86,0.05188,0.0,4.49,0,0.449,6.015,45.1,4.4272,3,247.0,18.5,395.99,12.86,22.5
426,12.2472,0.0,18.1,0,0.584,5.837,59.7,1.9976,24,666.0,20.2,24.65,15.69,10.2
59,0.10328,25.0,5.13,0,0.453,5.927,47.2,6.932,8,284.0,19.7,396.9,9.22,19.6
113,0.22212,0.0,10.01,0,0.547,6.092,95.4,2.548,6,432.0,17.8,396.9,17.09,18.7
40,0.03359,75.0,2.95,0,0.428,7.024,15.8,5.4011,3,252.0,18.3,395.62,1.98,34.9
289,0.04297,52.5,5.32,0,0.405,6.565,22.9,7.3172,6,293.0,16.6,371.72,9.51,24.8
441,9.72418,0.0,18.1,0,0.74,6.406,97.2,2.0651,24,666.0,20.2,385.96,19.52,17.1
203,0.0351,95.0,2.68,0,0.4161,7.853,33.2,5.118,4,224.0,14.7,392.78,3.81,48.5
470,4.34879,0.0,18.1,0,0.58,6.167,84.0,3.0334,24,666.0,20.2,396.9,16.29,19.9
132,0.59005,0.0,21.89,0,0.624,6.372,97.9,2.3274,4,437.0,21.2,385.76,11.12,23.0
245,0.19133,22.0,5.86,0,0.431,5.605,70.2,7.9549,7,330.0,19.1,389.13,18.46,18.5
167,1.80028,0.0,19.58,0,0.605,5.877,79.2,2.4259,5,403.0,14.7,227.61,12.14,23.8
499,0.17783,0.0,9.69,0,0.585,5.569,73.5,2.3999,6,391.0,19.2,395.77,15.1,17.5
166,2.01019,0.0,19.58,0,0.605,7.929,96.2,2.0459,5,403.0,14.7,369.3,3.7,50.0
83,0.03551,25.0,4.86,0,0.426,6.167,46.7,5.4007,4,281.0,19.0,390.64,7.51,22.9
468,15.5757,0.0,18.1,0,0.58,5.926,71.0,2.9084,24,666.0,20.2,368.74,18.13,19.1
323,0.28392,0.0,7.38,0,0.493,5.708,74.3,4.7211,5,287.0,19.6,391.13,11.74,18.5
136,0.32264,0.0,21.89,0,0.624,5.942,93.5,1.9669,4,437.0,21.2,378.25,16.9,17.4
501,0.06263,0.0,11.93,0,0.573,6.593,69.1,2.4786,1,273.0,21.0,391.99,9.67,22.4
