CreditScore,Age,Balance,Geography,Gender,Exited
511,66,0.0,Spain,Female,1
614,51,40685.92,France,Male,0
742,35,136857.0,Germany,Male,0
687,27,152328.88,Germany,Female,0
555,33,56084.69,Spain,Male,0
684,56,78707.16,Spain,Male,0
603,26,109166.37,Germany,Male,0
751,36,169831.46,Germany,Female,0
581,34,101633.04,Germany,Female,0
735,43,123180.01,Germany,Male,0
661,35,150725.53,Germany,Female,0
675,21,98373.26,France,Female,0
738,58,133745.44,Germany,Male,1
813,29,0.0,France,Male,0
657,37,163607.18,Spain,Female,0
604,25,157780.84,Germany,Female,0
519,36,0.0,France,Male,0
735,21,178718.19,France,Female,0
664,55,0.0,France,Male,0
678,32,0.0,France,Female,0
757,33,77253.22,Spain,Male,0
416,41,122189.66,Germany,Female,0
665,34,96645.54,France,Female,0
777,32,0.0,France,Female,1
543,36,0.0,France,Female,0
506,34,90307.62,France,Female,0
493,46,0.0,France,Female,0
652,75,0.0,Spain,Female,0
750,22,121681.82,Spain,Male,1
729,30,0.0,France,Male,0
646,46,0.0,France,Female,1
635,28,81623.67,Germany,Female,0
647,44,0.0,Spain,Female,1
808,45,118626.55,France,Male,0
524,36,0.0,France,Female,0
769,29,0.0,France,Male,0
730,42,0.0,Spain,Male,0
515,35,176273.95,Spain,Male,0
773,41,102827.44,Spain,Male,0
814,29,97086.4,Germany,Male,0
710,22,0.0,Spain,Male,0
413,34,0.0,France,Male,0
665,40,0.0,France,Female,0
623,44,0.0,France,Female,0
738,31,82674.15,France,Male,0
528,36,0.0,Spain,Male,0
670,65,0.0,Spain,Female,1
622,46,107073.27,Spain,Female,1
582,32,88938.62,Germany,Male,0
785,36,99806.85,Germany,Female,0
605,33,150092.8,Spain,Male,0
479,35,92833.89,Germany,Male,1
685,30,90536.81,Germany,Male,0
538,39,108055.1,Germany,Male,0
562,42,100238.35,France,Male,0
675,36,106190.55,Spain,Male,0
721,28,154475.54,Germany,Male,1
628,30,132351.29,Germany,Female,0
668,37,167864.4,Germany,Female,0
506,41,0.0,France,Female,0
524,31,107818.63,Germany,Female,1
699,34,185173.81,Germany,Male,0
828,34,129433.34,France,Male,0
674,39,120193.42,Spain,Male,0
656,39,0.0,France,Female,0
684,48,126384.42,Germany,Female,0
625,28,0.0,France,Female,0
432,42,152603.45,France,Male,1
549,52,0.0,France,Female,1
625,56,148507.24,Germany,Male,1
828,41,0.0,France,Female,0
770,24,101827.07,France,Male,0
758,34,0.0,France,Female,0
795,33,130862.43,Germany,Female,0
687,38,122570.87,France,Male,0
686,25,0.0,France,Male,0
789,39,124828.46,Germany,Male,0
589,50,144895.05,Germany,Female,0
461,34,63663.93,Germany,Female,0
637,40,133463.1,France,Male,0
584,48,213146.2,Spain,Female,1
579,35,129490.36,Spain,Female,1
756,44,137452.09,Germany,Male,0
663,34,0.0,France,Male,0
682,43,125851.93,France,Female,0
793,52,0.0,Spain,Male,1
691,31,40915.55,France,Female,1
485,21,113157.22,Spain,Female,0
635,29,138296.94,Spain,Female,0
650,37,106967.18,France,Male,0
735,44,120681.63,France,Male,0
416,32,0.0,France,Male,0
754,32,0.0,Spain,Female,0
535,48,0.0,France,Female,1
716,42,0.0,Spain,Male,0
539,37,127609.59,France,Male,0
614,43,0.0,France,Female,0
706,57,0.0,Spain,Male,1
758,33,0.0,France,Female,0
586,28,0.0,Spain,Female,0
646,73,97259.25,France,Female,0
631,33,123246.7,Germany,Female,0
717,22,101060.25,Spain,Female,0
684,30,0.0,France,Male,0
800,49,108007.36,France,Female,0
721,36,0.0,Spain,Female,0
683,29,133702.89,Spain,Male,1
660,31,125189.75,Germany,Male,0
704,24,113034.22,Germany,Female,1
615,41,109013.23,Spain,Female,0
667,39,0.0,Spain,Female,1
682,24,57929.81,Germany,Male,0
484,29,130114.39,France,Female,0
628,27,95826.49,Germany,Male,0
480,44,129608.57,Germany,Male,1
578,30,169462.09,France,Male,0
512,40,0.0,France,Male,0
484,35,133868.21,Spain,Female,0
510,30,0.0,France,Female,0
606,36,190479.48,Germany,Male,0
597,40,101993.12,Spain,Female,0
754,55,161608.81,Germany,Female,1
850,45,122311.21,Spain,Female,0
510,65,0.0,France,Male,0
778,45,162150.42,Germany,Female,0
636,42,0.0,France,Male,0
804,50,0.0,France,Female,1
514,32,0.0,France,Male,0
730,39,99010.67,France,Female,0
525,37,0.0,Spain,Female,0
616,30,0.0,Spain,Male,0
687,34,111388.18,Germany,Female,0
715,41,56214.85,France,Female,1
512,36,84327.77,France,Female,0
479,40,0.0,France,Male,0
601,32,93012.89,France,Male,0
580,29,61710.44,Spain,Male,0
807,35,174790.15,France,Male,0
616,32,0.0,Spain,Female,0
721,37,107720.64,Germany,Male,0
501,57,0.0,France,Male,0
521,35,96423.84,France,Male,0
850,30,141040.01,Spain,Male,0
759,42,105420.18,France,Male,0
516,50,0.0,Spain,Male,1
711,38,129022.06,France,Female,1
512,33,176666.62,Spain,Male,0
550,37,0.0,France,Male,0
608,41,89763.84,Spain,Female,1
618,34,134954.53,France,Male,0
643,45,0.0,France,Male,1
671,45,106376.85,France,Male,0
689,33,161814.64,Germany,Male,0
603,31,0.0,France,Male,0
620,41,0.0,France,Female,0
676,34,63095.01,France,Female,0
572,26,118287.01,Germany,Male,0
668,47,106854.21,Germany,Male,1
695,46,49512.55,France,Male,0
730,33,0.0,Spain,Female,0
807,43,105799.32,France,Male,1
592,54,0.0,France,Male,1
726,31,114722.05,France,Female,0
514,30,0.0,Spain,Male,0
567,42,0.0,France,Male,0
850,33,0.0,France,Male,1
671,45,99564.22,Germany,Male,1
670,37,170557.91,France,Male,0
694,30,0.0,France,Female,0
547,39,74596.15,Germany,Female,1
751,50,96888.39,Germany,Male,1
594,29,130830.22,Germany,Female,0
673,72,0.0,France,Male,0
610,40,0.0,France,Male,0
512,37,0.0,France,Female,0
767,20,119714.25,Germany,Male,0
585,67,113978.97,France,Female,0
763,42,100160.75,Germany,Male,1
712,29,0.0,France,Female,0
539,43,116220.5,Germany,Female,1
668,46,0.0,France,Female,1
703,28,81173.83,France,Male,0
662,38,0.0,Spain,Male,0
725,39,116803.8,Germany,Female,0
703,37,105961.68,France,Male,0
659,67,117411.6,Germany,Male,1
523,34,0.0,Spain,Male,0
635,40,123497.58,France,Female,1
772,26,152400.51,Germany,Male,0
545,26,0.0,France,Female,0
634,24,103097.85,Germany,Male,0
739,54,126418.14,Germany,Male,1
771,36,77846.9,Germany,Female,0
587,34,0.0,Spain,Female,0
681,79,0.0,France,Female,0
544,37,79731.91,Germany,Male,0
696,28,0.0,Spain,Male,0
766,41,0.0,Spain,Male,0
727,34,0.0,France,Male,0
671,34,37266.67,Germany,Female,0
693,30,127992.25,France,Female,0
850,38,54901.01,Germany,Male,0
732,42,108748.08,Germany,Male,0
726,48,99906.19,Spain,Female,0
557,32,184686.41,France,Female,0
682,26,110654.02,France,Female,0
738,31,79019.8,Spain,Male,0
531,36,99240.51,Spain,Female,0
498,34,0.0,France,Male,0
651,36,0.0,France,Male,0
549,39,0.0,Spain,Female,1
791,35,52436.2,Germany,Female,0
650,41,0.0,Spain,Male,0
733,34,100337.96,Germany,Male,1
811,34,149297.19,Germany,Female,0
707,30,0.0,France,Male,0
712,28,145605.44,Germany,Male,0
706,37,0.0,Spain,Female,0
756,62,0.0,France,Male,1
777,53,0.0,France,Female,0
646,35,84026.86,France,Male,0
714,46,0.0,France,Male,1
782,39,0.0,France,Male,0
775,29,0.0,Spain,Male,0
479,35,138718.92,Germany,Male,1
807,42,118274.71,France,Male,0
799,22,174185.98,France,Female,0
675,40,113208.86,France,Male,0
602,29,103907.28,Spain,Male,0
475,32,119023.28,France,Female,0
744,26,166297.89,Spain,Female,0
588,34,0.0,Spain,Male,0
703,42,63227.0,Germany,Male,0
747,41,94521.17,Spain,Female,0
583,27,0.0,France,Male,0
750,34,112822.26,Spain,Female,1
681,38,0.0,France,Male,0
773,25,135903.33,France,Male,0
714,31,125169.26,France,Female,0
687,44,0.0,Spain,Female,1
511,58,149117.31,France,Male,0
627,33,0.0,France,Male,0
694,31,0.0,France,Female,0
616,36,132311.71,Spain,Female,0
687,35,0.0,France,Male,0
712,33,0.0,France,Female,0
553,33,118082.89,France,Male,0
667,31,119266.69,France,Male,0
731,43,0.0,France,Male,1
629,35,156847.29,Germany,Male,0
614,50,137104.47,France,Male,1
438,31,78398.69,Germany,Male,0
652,80,0.0,France,Female,0
729,30,63669.42,Germany,Male,0
642,38,0.0,France,Male,0
806,59,135296.33,Germany,Female,0
744,36,153804.44,Spain,Male,0
474,37,0.0,Spain,Male,0
559,49,147069.78,France,Male,1
706,42,0.0,Spain,Male,0
628,22,0.0,Spain,Female,0
429,24,95741.75,France,Male,0
525,57,145965.33,Spain,Female,0
680,30,141441.75,France,Female,0
749,40,139290.41,France,Male,1
763,31,0.0,France,Female,0
734,30,0.0,France,Male,0
716,35,144428.87,France,Male,0
594,35,0.0,France,Male,0
644,46,95441.27,France,Female,1
671,35,144848.74,Germany,Male,0
664,26,116244.14,Germany,Male,0
656,50,0.0,France,Male,0
667,40,146502.07,Spain,Female,0
663,44,117028.6,Germany,Male,0
584,30,112013.81,Germany,Female,1
626,37,108269.37,Spain,Female,0
485,29,182123.79,France,Male,1
659,32,150923.74,Germany,Female,0
649,33,0.0,France,Male,0
805,39,165272.13,Spain,Female,1
716,39,115301.31,Germany,Female,1
642,40,129502.49,Germany,Female,1
659,31,118342.26,France,Male,0
545,47,0.0,Spain,Female,0
543,22,0.0,France,Male,0
718,25,0.0,France,Female,0
840,43,0.0,France,Female,0
630,34,106937.05,Germany,Female,0
643,59,170331.37,Germany,Male,0
654,32,114510.85,Germany,Female,0
582,39,0.0,France,Male,0
659,32,107594.11,Spain,Male,0
762,39,81273.13,Spain,Male,0
568,32,169399.6,Spain,Female,0
670,25,0.0,Spain,Male,0
613,45,187841.99,France,Female,0
539,30,0.0,France,Male,0
850,57,126776.3,Spain,Female,0
522,34,126436.29,Spain,Male,1
737,41,101960.74,France,Male,0
520,58,0.0,France,Male,0
706,28,0.0,Spain,Male,0
643,45,150842.93,Germany,Female,1
648,50,102535.57,France,Female,0
443,29,99027.61,Germany,Female,0
640,68,0.0,France,Male,0
628,33,0.0,Spain,Female,0
540,42,87271.41,Germany,Female,0
460,35,102742.91,Germany,Female,0
636,34,40105.51,Germany,Male,0
593,29,152265.43,France,Female,0
801,42,141947.67,Spain,Male,0
640,75,106307.91,Germany,Female,0
611,31,107884.81,Germany,Male,0
802,31,125013.72,Germany,Male,0
717,35,58469.37,Germany,Male,0
769,39,0.0,France,Female,0
745,45,117231.63,Germany,Male,1
572,35,152390.26,Spain,Male,0
629,30,34013.63,Spain,Female,0
687,39,0.0,Spain,Female,1
483,50,0.0,France,Female,0
690,36,101583.11,France,Male,0
492,30,77168.87,Germany,Female,0
709,28,124695.72,Germany,Male,0
705,44,105934.96,Germany,Male,0
560,66,0.0,France,Female,0
611,46,0.0,Spain,Male,0
730,62,0.0,Spain,Male,0
709,45,0.0,Spain,Female,0
544,21,161525.96,France,Female,0
712,29,147199.07,Germany,Female,0
752,38,183102.29,Germany,Male,0
648,46,127209.0,Spain,Male,1
556,38,0.0,Spain,Male,1
594,24,97378.54,Spain,Female,0
645,37,136925.09,Germany,Female,0
557,33,54503.55,France,Male,0
547,32,155726.85,Germany,Male,0
701,39,0.0,France,Female,0
616,66,135842.41,France,Female,1
605,52,63349.75,France,Male,0
593,38,129499.42,Germany,Female,0
751,52,0.0,Spain,Male,0
443,36,70438.01,Spain,Male,0
685,23,0.0,France,Male,0
718,36,0.0,France,Male,0
538,49,141434.04,Spain,Female,1
611,37,0.0,Spain,Female,0
668,37,152958.29,Germany,Male,0
537,41,138306.34,Germany,Female,0
709,23,0.0,Spain,Male,0
850,38,0.0,France,Male,0
745,31,124328.84,Spain,Female,0
693,41,181461.48,Germany,Female,1
795,35,0.0,Spain,Male,0
626,26,0.0,Spain,Male,0
487,61,110368.03,Germany,Female,1
556,39,89588.35,France,Female,0
643,46,0.0,France,Female,0
605,28,0.0,France,Female,0
756,60,115924.89,Germany,Female,1
586,38,0.0,France,Female,0
535,40,111756.5,Germany,Male,1
678,35,0.0,France,Female,0
596,39,0.0,France,Male,0
648,26,162923.85,France,Male,0
492,39,124576.65,Germany,Male,0
702,45,80793.58,France,Male,0
486,40,71340.09,Germany,Female,0
568,40,99282.63,Germany,Male,1
619,57,137946.39,Germany,Male,1
724,41,127892.57,Germany,Male,0
548,33,101084.36,Germany,Female,0
545,37,114754.08,Germany,Female,1
683,33,0.0,France,Male,0
762,51,99286.98,France,Female,0
627,30,79871.02,Germany,Female,0
516,35,104088.59,France,Male,0
800,38,168190.33,France,Female,0
464,42,85679.25,Germany,Female,0
626,35,0.0,France,Female,0
790,31,0.0,France,Female,0
534,34,121551.58,France,Female,0
745,46,122220.19,France,Male,0
553,47,116528.15,Spain,Male,1
748,26,77780.29,France,Female,0
722,37,0.0,France,Male,0
501,40,125832.2,France,Male,0
675,38,68065.8,France,Female,1
778,47,127299.34,Spain,Female,0
494,38,174937.64,Germany,Female,0
850,40,0.0,France,Male,0
592,31,110071.1,Spain,Male,0
590,44,139432.37,Spain,Female,0
758,39,127357.76,France,Female,0
506,36,0.0,France,Male,0
733,33,0.0,France,Male,0
711,38,0.0,France,Male,0
514,43,95556.31,Germany,Male,1
637,37,0.0,Spain,Male,0
468,29,111681.98,Germany,Male,0
539,39,0.0,France,Male,0
509,25,108738.71,Spain,Female,0
662,32,133950.37,France,Female,1
818,26,0.0,Spain,Male,0
608,33,89968.69,France,Male,0
850,32,0.0,Spain,Female,0
816,38,130878.75,Germany,Female,1
536,35,0.0,France,Male,0
753,35,0.0,France,Male,0
631,27,134169.62,Spain,Male,0
703,37,149762.08,France,Male,1
774,26,93844.69,France,Male,0
785,28,0.0,France,Male,0
571,33,0.0,France,Female,0
621,46,141078.37,Germany,Male,1
605,31,117992.59,Germany,Female,0
611,40,100812.33,France,Female,0
569,38,0.0,France,Male,0
658,29,80262.6,France,Male,0
788,34,156478.62,Spain,Male,0
525,23,0.0,France,Female,0
798,37,0.0,France,Male,0
486,37,115217.99,Germany,Male,0
615,61,0.0,Spain,Male,1
730,35,155470.55,France,Female,0
641,37,0.0,France,Male,0
542,39,135096.77,France,Male,1
692,30,0.0,France,Male,0
714,55,180075.22,Germany,Female,0
591,29,97541.24,Spain,Male,0
710,41,156067.05,France,Female,0
639,38,81550.94,France,Female,0
531,47,0.0,France,Female,1
673,38,170061.92,France,Female,1
765,36,92310.54,Germany,Male,0
622,32,169089.38,France,Female,0
806,40,80613.93,France,Male,0
757,26,121581.56,Germany,Male,0
570,58,0.0,France,Female,1
555,32,0.0,Spain,Male,0
692,54,0.0,France,Male,0
774,60,85891.55,France,Male,1
638,44,77637.35,Spain,Male,0
543,41,0.0,Spain,Female,0
584,31,0.0,France,Male,0
691,30,116927.89,Germany,Male,0
684,40,137326.65,Germany,Female,0
733,22,0.0,France,Male,0
599,37,0.0,Spain,Female,0
524,31,67238.98,Germany,Female,0
632,38,86569.76,Germany,Female,0
735,34,0.0,Spain,Male,0
734,34,133598.4,France,Male,0
605,51,136188.78,France,Female,1
793,38,0.0,Spain,Male,0
468,56,0.0,France,Female,1
779,37,120092.52,Germany,Male,0
698,48,101238.24,France,Male,1
707,58,89685.92,France,Male,0
850,35,211774.31,France,Female,1
850,56,131317.48,France,Male,0
527,37,93722.73,Spain,Male,0
696,32,101160.99,Germany,Male,0
661,48,120320.54,France,Male,0
776,31,0.0,France,Female,0
701,43,0.0,France,Male,0
610,26,0.0,France,Male,0
572,48,152827.99,Germany,Female,1
673,30,64097.75,France,Male,0
519,57,119035.35,Spain,Female,0
702,26,135219.57,Spain,Female,0
729,32,93694.42,France,Male,0
543,35,59408.63,Spain,Male,0
550,40,114354.95,France,Female,0
608,59,0.0,France,Male,1
639,35,128173.9,Germany,Male,0
686,34,0.0,Spain,Male,0
564,62,114931.35,Germany,Female,1
745,28,111071.36,Germany,Female,1
833,37,151226.18,France,Male,0
622,26,0.0,France,Male,0
597,42,64740.12,France,Female,0
721,51,169312.13,Spain,Male,1
504,49,0.0,France,Female,1
842,44,112652.08,Spain,Female,0
587,38,0.0,France,Male,0
479,30,143964.36,Germany,Female,0
508,49,122451.46,France,Male,0
749,24,0.0,France,Male,0
721,36,65253.07,Germany,Female,0
674,47,106901.94,Germany,Male,1
685,25,128509.63,Spain,Female,0
417,34,0.0,France,Male,0
574,33,129834.67,Germany,Male,0
590,51,154962.99,Spain,Female,1
587,40,138241.9,Germany,Male,0
598,41,91536.93,Germany,Male,1
741,53,0.0,Spain,Male,0
850,70,0.0,Spain,Female,0
584,29,105204.01,Germany,Female,0
650,61,152968.73,Spain,Male,0
607,36,158261.68,Spain,Male,0
509,46,0.0,France,Female,1
689,38,121021.05,Spain,Female,0
543,36,0.0,France,Male,0
438,54,0.0,Spain,Female,1
687,63,137715.66,Spain,Female,0
737,31,121192.22,Germany,Male,0
761,31,0.0,France,Male,0
601,44,100486.18,France,Male,0
651,45,0.0,France,Male,1
745,35,92566.53,France,Male,0
648,49,0.0,Spain,Female,1
848,40,110929.96,Spain,Male,0
546,27,0.0,France,Female,0
439,32,138901.61,Spain,Female,0
755,30,123217.66,France,Male,0
593,41,0.0,France,Female,0
701,39,0.0,France,Male,0
701,36,0.0,Spain,Male,0
607,33,108431.87,Spain,Female,1
586,57,0.0,Spain,Female,0
547,30,72392.41,Germany,Female,0
647,51,119741.77,Germany,Female,1
760,51,100946.71,France,Female,1
621,53,170491.84,Spain,Male,1
725,44,0.0,France,Male,0
526,36,0.0,France,Male,0
519,47,157296.02,Spain,Female,1
713,38,144606.22,Germany,Female,1
700,38,134811.3,France,Male,0
666,34,115897.12,France,Female,0
630,32,82034.0,Spain,Male,0
779,26,174318.13,Spain,Female,0
611,41,114206.84,Germany,Female,0
685,43,0.0,Spain,Male,0
646,39,111574.41,Germany,Male,0
683,57,162448.69,Germany,Female,1
484,34,148249.54,Germany,Female,0
601,43,0.0,France,Female,1
762,26,123709.46,Spain,Female,0
687,72,0.0,France,Female,0
566,30,0.0,France,Male,1
702,37,150525.8,France,Male,0
601,29,0.0,France,Male,0
699,53,0.0,France,Male,0
584,28,0.0,France,Male,0
699,35,0.0,France,Male,0
698,51,111018.98,Germany,Female,0
495,30,129755.99,France,Male,0
650,27,0.0,France,Female,0
605,64,129555.7,France,Female,0
667,38,87202.38,Spain,Male,0
688,26,146133.39,Germany,Male,0
727,31,0.0,Spain,Female,1
754,39,170184.99,Spain,Male,0
612,62,140745.33,Germany,Female,1
546,42,139070.51,Spain,Male,0
673,37,0.0,Spain,Female,0
593,35,114193.24,France,Male,0
656,40,167878.5,Spain,Female,0
535,53,141616.55,Germany,Female,0
678,36,145747.67,Germany,Male,0
477,48,129120.64,Spain,Female,0
850,35,110349.82,Spain,Male,0
427,29,141325.56,France,Male,0
752,49,78653.84,France,Male,0
649,47,0.0,France,Male,0
799,28,142253.65,Spain,Female,0
589,61,0.0,France,Female,1
583,54,115988.86,Germany,Female,1
839,33,75592.43,Spain,Female,0
540,44,164113.04,Germany,Male,0
850,31,67996.23,France,Male,1
696,51,0.0,Spain,Female,0
660,33,0.0,Spain,Female,0
682,48,138778.15,France,Male,0
744,43,147832.15,France,Female,0
785,36,135438.4,France,Female,0
752,48,116060.08,Spain,Male,1
706,29,112564.62,France,Female,0
583,27,125406.58,France,Female,0
660,39,135134.99,Germany,Female,1
819,39,133102.92,France,Female,1
673,34,42157.08,France,Female,1
752,30,0.0,France,Female,0
578,38,82259.29,France,Male,0
438,36,0.0,France,Female,0
652,38,0.0,France,Male,0
629,49,0.0,France,Female,0
720,52,0.0,France,Male,0
668,42,150461.07,France,Male,0
459,48,133994.52,Germany,Male,1
729,31,164870.81,Spain,Male,0
498,25,121702.73,Germany,Male,0
549,25,193858.2,Spain,Male,0
601,54,131039.97,Germany,Female,0
544,64,113829.45,France,Male,0
751,30,0.0,France,Female,0
632,41,81877.38,Germany,Female,0
694,57,116326.07,Spain,Male,0
678,31,0.0,France,Male,0
695,46,0.0,France,Male,0
661,41,0.0,France,Female,0
661,33,0.0,France,Male,0
559,31,127070.73,France,Female,0
503,29,0.0,France,Male,0
695,46,122549.64,Spain,Male,0
640,42,176099.13,France,Female,0
624,48,122388.38,Germany,Female,0
667,42,0.0,France,Male,0
642,26,0.0,France,Male,0
640,32,118879.35,Spain,Female,0
529,35,0.0,Spain,Male,0
563,39,0.0,France,Female,0
593,38,88736.44,Spain,Female,0
739,45,102703.62,Germany,Male,1
788,70,0.0,Spain,Female,0
684,38,0.0,Spain,Female,0
482,55,97318.25,France,Male,0
591,58,128468.69,Spain,Male,0
651,41,133432.59,Germany,Female,0
749,40,141782.57,Germany,Female,0
583,24,135125.28,France,Male,0
661,42,178820.91,Spain,Male,1
715,31,112212.14,France,Female,0
769,45,126674.81,Germany,Female,1
625,51,136294.97,France,Female,1
641,36,66392.64,France,Female,0
716,27,122552.34,Germany,Male,0
767,43,76408.85,France,Male,0
745,36,145071.24,Germany,Male,0
589,34,0.0,France,Male,0
796,45,109730.22,France,Female,0
664,57,0.0,France,Male,0
445,62,64119.38,Spain,Male,1
543,57,106138.33,Germany,Female,1
746,36,0.0,Spain,Male,0
742,33,181656.51,Germany,Male,0
750,32,0.0,France,Female,0
669,30,95128.86,France,Male,0
594,49,126615.94,Spain,Female,0
574,36,0.0,Spain,Male,0
659,36,76190.48,Germany,Male,0
750,40,168286.81,Germany,Male,1
626,35,88109.81,Germany,Male,0
620,42,0.0,France,Male,0
580,35,0.0,France,Female,0
686,34,123971.51,France,Female,0
540,48,148116.48,France,Male,0
634,35,116269.01,Germany,Male,0
632,38,120599.21,Spain,Male,0
501,41,144260.5,France,Female,0
650,25,86605.5,Spain,Female,1
786,34,0.0,France,Male,0
554,37,58629.97,Germany,Female,0
701,42,0.0,Spain,Female,0
474,45,0.0,France,Male,0
621,43,0.0,France,Female,0
672,56,209767.31,Spain,Female,1
459,42,129634.25,Spain,Female,1
669,23,0.0,France,Male,0
776,38,169824.46,France,Female,0
694,36,97530.25,France,Male,0
787,42,145988.65,France,Female,0
580,37,0.0,France,Male,0
711,25,0.0,France,Female,0
673,40,137494.28,France,Female,0
499,57,0.0,France,Female,1
591,24,147360.0,France,Male,0
769,25,0.0,France,Female,0
657,31,125167.02,Spain,Male,0
738,43,121152.05,Germany,Male,1
545,60,128981.07,Germany,Female,1
497,47,0.0,France,Male,0
816,67,151858.98,Spain,Male,0
525,36,114628.4,France,Male,0
725,46,0.0,France,Male,0
692,28,95059.02,France,Female,0
618,24,128736.39,France,Female,0
546,24,156325.38,France,Male,0
635,29,105405.97,France,Male,0
611,49,88915.37,France,Female,1
650,60,0.0,France,Male,0
606,40,0.0,France,Male,0
844,18,160980.03,France,Male,0
450,46,177619.71,Spain,Female,0
727,38,62276.99,Spain,Male,0
460,46,127559.97,Germany,Male,0
649,41,0.0,France,Male,0
758,47,95523.16,Germany,Female,0
490,35,107749.03,France,Female,0
815,37,110777.26,Germany,Male,0
838,39,166733.92,Spain,Female,0
803,31,157120.86,France,Male,0
664,36,127160.78,Germany,Female,0
736,28,0.0,Spain,Female,0
633,37,156091.97,France,Female,0
664,58,98668.18,France,Male,0
600,43,134022.06,France,Female,0
693,35,124151.09,France,Female,1
663,36,77253.5,Germany,Female,1
742,21,114292.48,Germany,Female,0
710,43,140080.32,Germany,Male,1
710,27,135277.96,Spain,Female,0
700,82,0.0,France,Female,0
720,60,115920.62,Germany,Male,1
684,41,119782.72,Spain,Male,0
531,63,114715.71,France,Female,1
742,36,129748.54,Germany,Female,1
717,31,129722.57,France,Male,0
589,32,0.0,France,Male,0
767,36,139180.2,France,Male,0
636,49,113599.74,Germany,Male,1
648,33,134944.0,France,Male,0
622,58,116922.25,Germany,Female,1
692,28,118945.09,Spain,Male,1
754,28,0.0,France,Male,0
679,35,119182.73,Spain,Female,0
639,27,0.0,France,Male,0
774,28,71264.02,France,Female,0
517,41,0.0,France,Male,0
571,35,0.0,France,Female,0
747,58,116313.57,Germany,Male,1
792,36,92140.15,Spain,Male,0
688,26,0.0,France,Male,0
714,42,177640.09,Germany,Male,0
562,35,0.0,Spain,Female,0
704,48,167997.6,Spain,Male,0
698,36,82275.35,France,Male,0
611,49,0.0,France,Male,0
850,48,111962.99,Germany,Female,0
743,34,131736.88,Germany,Female,0
654,29,0.0,France,Male,0
761,36,108239.11,Germany,Male,0
702,46,98444.19,France,Female,0
488,32,114540.38,Germany,Male,0
683,35,187530.66,France,Female,0
601,42,133636.16,Germany,Female,0
605,52,0.0,France,Male,0
671,44,84745.03,Germany,Female,0
614,31,120599.38,Germany,Female,0
511,29,0.0,Spain,Female,0
850,39,127771.35,France,Male,0
790,46,0.0,Spain,Female,1
793,33,0.0,France,Female,0
628,69,0.0,France,Male,0
598,53,167772.96,Germany,Male,0
657,37,95845.6,France,Female,0
618,35,0.0,France,Female,0
681,65,134714.7,Spain,Male,0
516,33,0.0,Spain,Female,0
421,28,122384.22,Germany,Male,1
700,26,0.0,France,Female,0
745,25,157993.15,France,Male,0
696,29,0.0,France,Male,0
580,42,123331.36,Germany,Female,1
497,27,75263.16,Spain,Male,0
720,43,137824.03,France,Female,0
659,36,132578.92,Germany,Male,0
841,36,156021.31,France,Female,0
642,34,0.0,Spain,Male,0
732,69,137453.43,Spain,Female,1
600,36,0.0,Spain,Male,0
464,33,164284.72,Germany,Male,0
680,47,0.0,France,Female,0
758,56,0.0,Spain,Male,0
630,31,112373.49,Germany,Female,0
577,39,0.0,France,Female,0
684,34,0.0,France,Female,0
708,41,0.0,Spain,Female,0
732,29,154333.82,Germany,Female,0
634,37,111432.77,Germany,Male,0
633,30,0.0,France,Female,0
