Tenure,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
8,2,0,0,99645.04
9,2,0,0,6534.18
6,1,1,1,161848.03
6,2,0,0,167162.43
9,1,1,0,41970.72
7,2,1,0,60536.56
1,1,1,1,177655.68
4,2,1,1,30984.59
1,1,1,1,10054.53
2,1,0,1,36976.52
5,1,0,0,71862.79
9,1,1,0,99449.86
3,1,0,1,63082.88
7,2,1,0,27231.26
2,1,0,0,86797.41
9,1,0,1,22994.32
9,2,0,1,101300.94
9,2,1,1,74169.13
6,1,1,0,115638.29
1,2,1,0,31766.3
8,1,1,0,199725.39
4,2,1,0,120834.48
8,2,0,0,38131.77
6,1,0,0,100130.95
6,2,1,0,141069.88
10,1,1,1,198129.36
3,1,0,0,183646.41
9,1,1,0,110265.24
1,1,0,1,8636.05
0,1,1,0,46824.08
7,2,1,0,171378.77
9,1,1,0,167256.35
3,2,1,1,124226.16
9,1,1,1,114935.21
9,1,1,1,35608.88
1,2,0,1,16459.37
7,2,1,1,124411.08
5,2,1,1,34941.23
5,1,0,1,167784.28
2,1,0,1,93165.34
2,1,1,0,75161.25
1,2,0,1,8590.83
10,1,1,0,189543.9
7,2,1,1,180427.24
5,1,1,1,193318.33
2,1,1,0,159123.82
5,1,1,0,126213.84
5,1,1,1,54141.5
8,2,1,0,141075.51
5,1,0,0,24495.03
9,1,1,0,74836.34
0,2,0,1,878.87
7,2,1,0,89520.75
9,1,1,0,149892.79
8,2,1,0,180800.42
2,1,1,0,98646.22
6,2,1,1,109041.53
7,1,1,0,17941.16
7,2,0,0,82996.47
2,2,1,1,92067.35
6,1,0,1,104719.66
4,1,0,0,112687.57
6,1,0,1,84699.56
2,2,1,0,83473.82
7,1,0,0,47125.11
2,2,1,1,106977.8
0,1,1,0,55582.54
9,2,1,1,139874.43
7,1,1,0,162503.48
9,1,1,0,196499.96
2,2,1,0,40721.24
9,2,0,0,53134.3
4,1,1,0,164017.89
5,2,1,0,155996.96
10,1,1,0,5472.7
4,1,1,0,112187.11
5,2,1,1,146457.83
7,1,1,1,27286.1
0,2,1,1,130553.47
5,2,0,0,179351.89
8,1,0,1,94774.12
3,1,1,0,8080.85
2,1,1,1,19482.5
2,2,1,1,48071.61
1,2,1,0,174531.27
2,2,1,1,55470.78
4,1,1,1,8546.87
8,2,1,0,95857.18
1,1,1,0,194945.8
0,1,0,1,131521.72
5,2,0,1,196108.51
7,2,1,0,148564.76
8,2,0,0,92982.61
3,2,1,0,17675.36
1,2,0,0,114996.43
8,1,1,0,86957.42
9,2,1,0,128077.8
3,1,1,1,600.36
6,2,1,1,43001.46
3,1,1,1,158591.12
10,2,1,1,47847.19
6,1,1,0,10488.44
2,1,1,1,5978.2
4,1,0,1,121409.06
5,1,0,1,146145.93
2,2,1,1,14374.86
3,1,1,0,94670.77
3,1,1,1,179670.31
3,1,0,0,199304.74
5,1,1,1,151954.39
5,1,1,0,142513.5
2,1,0,1,158264.62
2,2,1,0,169381.9
8,2,1,1,169915.02
9,2,0,0,88852.47
1,1,1,1,40645.81
4,2,0,0,60427.3
7,1,0,1,157959.02
7,1,1,0,133007.34
9,2,0,0,176576.62
1,2,1,0,34888.04
8,1,1,1,28737.71
9,2,1,1,98178.57
7,1,0,1,125010.24
2,2,1,1,167984.61
10,1,1,0,4861.72
6,1,1,1,108872.45
4,2,1,0,198252.88
9,2,1,1,26960.31
6,3,1,1,85746.52
2,1,1,0,77206.25
3,1,1,0,61048.53
1,2,0,1,111981.19
0,2,1,0,62232.6
1,2,0,1,156105.03
3,2,0,1,150135.38
5,2,0,1,93146.11
6,1,1,0,33462.94
2,1,1,1,144375.0
3,3,1,0,55803.96
2,3,1,0,89048.46
2,2,0,1,162812.16
4,2,1,0,136259.65
5,1,1,0,124052.97
8,2,0,1,74158.8
6,1,1,1,45071.09
7,2,1,0,62030.06
10,1,1,0,131953.23
7,2,1,0,79414.0
1,2,1,1,199638.56
8,1,1,1,157577.29
8,1,1,0,134420.75
5,1,0,0,99805.99
1,2,1,1,97932.68
0,2,0,1,170968.99
2,1,1,1,57558.95
8,1,0,0,176713.47
0,2,0,1,34283.23
10,2,1,1,198637.34
6,2,0,0,156917.12
6,1,1,1,50457.2
3,1,1,1,140075.55
9,2,1,1,65323.11
6,1,1,0,64323.24
6,2,1,0,14956.44
0,1,0,1,111879.21
9,1,1,1,18606.23
9,1,1,0,123137.01
2,2,1,1,148528.24
7,2,1,0,13898.31
7,1,0,0,81259.25
7,1,1,0,161051.75
9,2,0,1,191599.67
3,3,1,0,48559.19
1,2,1,1,186339.74
8,2,1,0,33159.37
4,1,0,1,93883.53
7,2,1,1,110899.3
3,1,1,1,11199.04
10,2,1,0,189992.97
6,1,0,1,164255.69
1,1,1,0,152167.79
8,2,1,1,33949.67
10,2,1,1,68143.93
4,1,1,1,47251.79
7,1,1,1,25885.72
8,2,0,1,192633.85
7,2,1,0,34577.36
5,1,1,0,161229.84
8,1,1,0,100816.29
5,1,1,1,181694.44
10,2,1,0,79078.91
9,1,0,1,137316.32
5,2,1,0,194926.86
7,2,1,0,51285.49
9,1,0,0,150401.53
3,2,1,1,112491.96
2,1,1,0,73656.38
4,1,1,1,106636.89
7,3,1,0,155853.52
0,1,1,1,162599.51
5,2,1,1,103737.82
10,2,1,0,160990.27
6,1,0,0,15462.84
8,2,1,0,10334.05
6,2,1,1,190686.16
4,1,0,0,94440.45
1,1,1,1,28257.63
2,1,1,1,170034.95
7,2,1,0,31824.29
4,1,1,0,127166.49
8,1,1,0,44937.01
4,2,1,1,188603.07
6,1,1,0,145111.37
3,2,0,0,171463.83
0,1,1,0,182822.5
2,1,1,1,87213.33
3,2,0,0,57175.32
2,1,1,0,120540.83
9,2,1,1,28714.34
3,1,1,0,85426.28
4,1,1,0,46170.75
2,1,1,1,64448.36
8,1,1,1,16278.97
1,1,1,0,182855.42
4,2,0,0,50404.72
3,2,1,0,107640.25
4,1,1,0,134132.65
2,2,1,0,103480.69
9,1,1,0,108761.05
1,1,1,1,179012.3
7,2,1,1,95145.14
7,2,0,1,72143.44
1,1,1,0,19162.89
2,2,0,1,144680.18
8,1,1,0,177772.03
6,1,1,0,5597.94
7,1,1,0,116828.51
3,2,0,1,174652.51
2,2,1,0,2010.98
5,1,1,0,14109.85
10,1,1,0,43527.4
6,2,0,1,86099.23
4,1,0,0,161574.19
5,2,1,1,38970.14
8,2,0,0,127587.22
7,2,1,0,30380.12
7,2,1,0,90908.95
9,2,1,0,138275.01
3,1,1,1,32171.79
1,1,1,1,126143.23
5,2,1,1,129892.93
3,2,1,1,102416.84
2,1,1,1,18719.67
7,1,1,0,61936.22
6,2,1,1,78358.94
1,2,1,1,147224.27
0,2,1,0,160979.66
8,2,1,1,132298.49
9,1,1,0,174248.52
1,1,1,1,123547.28
3,2,0,1,32790.02
3,2,0,1,181543.67
2,1,0,1,2319.96
9,1,1,1,189543.19
9,2,1,0,10940.4
9,2,1,1,199493.38
3,1,1,1,188193.25
9,2,1,0,172572.64
8,2,1,1,189339.6
2,2,0,1,53512.16
2,1,1,0,34004.44
4,1,1,1,10598.29
1,2,0,1,113428.77
0,2,1,1,183487.98
1,1,1,1,187658.09
7,2,1,1,172459.39
8,1,0,1,21016.0
10,3,1,1,122381.02
4,1,1,0,128123.66
2,1,1,0,19570.63
2,3,0,0,188150.6
9,2,1,1,111020.24
7,2,1,0,123775.15
10,2,0,1,146700.22
8,2,1,0,145251.35
3,1,1,0,82463.69
9,1,1,1,15928.49
6,2,1,0,45886.33
2,2,1,1,186489.95
2,2,0,1,162922.65
10,2,1,0,9262.77
7,1,1,1,84932.4
3,1,1,1,71557.12
9,2,1,0,77405.95
8,2,0,0,417.41
0,1,1,1,71405.17
2,2,0,1,153400.24
3,1,1,1,371.05
8,1,1,0,67789.99
9,2,0,1,145894.9
1,1,1,0,183840.51
1,1,1,0,108887.44
4,1,1,1,154071.27
8,2,0,1,179291.85
6,2,0,1,56937.43
8,2,1,1,112239.03
9,1,1,0,45909.87
9,1,0,0,173779.25
4,2,1,0,125696.26
10,2,1,1,159585.61
3,1,1,0,106761.47
10,2,0,0,129590.18
1,2,1,1,80006.65
3,1,1,1,140451.52
9,3,1,1,187929.43
8,2,1,0,167155.36
8,2,0,0,191420.71
5,1,0,0,11384.45
9,1,1,1,94898.1
6,2,0,0,106781.59
6,2,0,0,159508.52
3,1,1,0,93524.19
2,2,1,0,87168.46
7,1,1,0,8128.32
4,1,1,0,125518.32
9,1,1,0,48963.59
9,1,1,0,98368.24
10,2,1,0,148584.61
0,1,1,1,27474.81
9,1,1,0,76192.21
1,1,0,0,134600.94
3,1,1,1,72467.99
2,2,0,1,199645.45
0,1,1,0,42749.85
8,1,1,0,136050.44
8,1,0,0,73564.44
3,1,0,1,85578.63
4,2,1,0,129826.89
10,2,0,0,119666.0
2,2,1,0,68052.08
3,1,1,1,164104.74
3,1,0,0,80190.36
9,2,1,0,84126.75
7,2,1,1,70179.0
2,1,1,1,118024.1
3,1,0,0,145704.19
1,1,0,1,183049.41
2,1,0,0,120906.83
4,1,1,1,100433.83
6,1,0,0,138777.0
6,2,1,0,124694.99
7,1,1,0,40084.32
9,2,0,1,119232.33
7,1,0,0,43921.36
3,1,1,0,62222.81
6,1,0,1,56577.0
5,2,1,0,164253.35
3,1,1,1,7666.73
3,2,1,0,68487.51
1,1,0,1,199273.98
8,1,1,1,186062.36
1,2,1,1,195711.16
3,2,1,0,36692.17
3,2,1,0,106920.57
4,1,1,1,48725.68
4,2,1,1,167036.94
9,1,1,0,68777.26
9,2,1,1,18924.92
5,3,1,0,71905.77
8,2,1,0,64833.28
3,2,1,1,184843.77
10,1,1,1,176730.02
1,1,1,0,20629.4
2,1,1,0,28415.36
8,2,1,0,77231.27
1,2,1,0,102750.7
6,1,0,0,34580.8
1,1,1,1,183598.77
8,2,1,0,147358.27
7,1,1,1,108469.2
4,1,1,1,20612.82
6,1,0,1,181196.76
5,2,1,0,160249.1
8,3,0,0,110783.28
9,2,1,0,144995.33
9,2,1,0,150227.85
0,1,1,1,53718.28
7,2,1,0,75248.3
3,1,1,1,14353.43
2,2,0,1,130486.57
9,1,1,1,100127.71
1,1,1,1,196356.17
2,1,1,1,9983.88
4,2,0,1,118974.77
6,1,0,0,194998.34
2,2,0,0,134901.34
8,2,1,1,72924.56
6,2,1,0,101057.95
5,1,1,1,142838.64
8,2,1,1,127059.04
8,1,0,1,116503.92
4,2,1,1,54405.79
5,2,1,1,88721.84
5,1,1,0,74135.48
9,2,1,1,111346.22
4,1,0,0,194902.16
5,2,1,0,31474.27
7,1,1,0,21198.39
6,1,1,0,186976.6
5,2,1,1,117202.19
2,2,1,1,143739.29
10,2,1,1,161811.23
6,2,1,0,98090.91
5,2,0,0,71095.41
6,1,1,1,13107.24
3,1,1,1,67110.59
9,2,1,0,88225.02
10,3,0,1,62256.87
7,2,1,0,135925.72
4,2,0,1,177815.87
6,1,0,1,126471.13
1,1,1,0,188574.12
7,1,1,1,119175.45
5,2,1,1,139093.73
8,1,1,1,115916.55
3,1,0,0,96463.25
2,2,1,1,112349.51
2,2,1,1,165303.79
8,2,1,0,166031.08
3,1,1,0,38411.79
1,1,1,1,77783.35
2,2,1,1,29871.79
4,1,0,1,59747.63
6,1,1,1,79919.13
10,1,1,0,76773.53
7,1,1,0,54018.93
1,1,1,0,70649.64
10,2,1,0,59093.39
9,2,1,0,127569.8
5,3,0,1,18260.98
1,1,1,0,73275.96
8,2,1,1,136129.49
9,2,1,1,153237.59
4,1,1,1,106841.12
0,1,1,0,109078.35
7,3,0,1,87822.14
2,2,1,0,126644.98
0,2,1,0,47414.15
7,2,1,0,41879.99
7,2,1,1,75808.1
1,3,1,1,47911.03
3,2,1,0,28737.78
6,1,1,1,2079.2
10,1,1,0,121562.33
7,2,1,0,55003.79
3,1,1,0,193131.42
3,3,0,1,191932.27
5,2,1,0,159418.1
3,1,1,0,191468.78
3,2,1,1,38913.68
5,1,1,1,705.18
7,1,0,1,138490.03
1,1,0,1,82970.69
8,1,1,1,76744.72
1,1,1,0,71244.59
6,1,1,1,12182.15
4,2,1,1,141210.5
2,1,0,0,191763.07
1,1,1,1,37938.74
5,2,1,1,74890.58
7,3,1,1,166698.18
1,2,1,1,62678.53
1,1,1,0,67740.08
9,2,1,0,161519.77
10,2,1,1,159835.78
3,1,1,1,30876.84
8,2,1,1,14858.1
3,1,1,0,75685.97
4,2,0,1,144183.1
6,1,1,0,65170.66
2,2,1,1,82526.92
8,2,1,0,169161.46
2,2,0,1,109291.39
3,2,0,1,6057.81
9,1,1,0,77077.14
1,2,0,0,54954.51
2,1,0,0,179614.8
9,1,1,0,35588.07
5,1,1,1,117356.14
1,1,1,0,160696.72
6,2,0,0,147278.43
7,1,1,1,56594.36
8,1,1,0,1299.75
9,1,1,1,25095.03
4,1,0,0,146326.45
4,2,0,1,38296.21
2,1,1,0,164061.6
9,2,1,0,107811.28
9,1,1,1,30838.51
5,1,0,0,9221.78
4,1,0,1,33738.27
8,3,0,1,110916.15
7,2,1,1,169654.57
9,1,0,1,69829.4
5,1,1,0,54926.51
10,1,1,1,94728.49
9,1,1,1,80393.27
4,2,0,1,111307.98
10,2,1,0,19834.32
5,2,1,1,78397.24
2,1,1,0,86410.28
10,1,0,0,172749.65
6,2,1,0,1002.39
2,1,1,1,13601.79
1,1,1,1,77866.91
8,1,1,1,175296.76
0,1,1,0,121751.04
6,2,1,0,89593.26
8,1,1,0,193437.89
7,1,1,1,86945.0
8,2,1,1,183318.79
9,1,1,0,71154.1
10,1,0,1,151887.16
5,2,1,1,75888.65
3,2,0,1,89566.74
2,1,0,1,26475.79
7,1,0,0,126355.8
1,1,1,1,93839.3
2,1,1,0,7698.6
1,2,1,1,145593.85
3,1,1,0,45042.56
1,1,1,0,61108.56
6,1,1,0,57553.98
10,1,1,0,62674.42
3,2,1,1,12120.79
6,2,0,0,50129.87
5,2,1,0,55022.43
1,2,0,0,117834.91
1,1,0,1,168840.23
10,1,0,1,24234.11
4,1,0,0,190627.01
5,1,1,0,156618.38
5,1,1,0,42334.38
1,1,1,1,110784.42
5,1,1,0,173683.0
9,1,1,0,27046.46
8,1,1,0,20598.59
3,2,1,1,104991.28
7,1,1,0,8996.97
4,2,1,0,64420.5
6,2,1,1,145700.22
4,2,1,1,196335.48
7,1,1,1,14781.12
3,1,1,0,108139.23
4,1,1,1,19287.06
8,2,1,1,9567.39
8,1,1,1,132210.49
6,1,0,1,21600.11
1,2,1,1,199661.5
9,1,1,1,124341.49
6,2,1,0,15766.1
3,1,1,1,33642.21
8,1,1,1,117704.65
2,2,1,1,58803.28
4,2,1,1,137537.22
1,2,0,1,131300.68
9,2,1,1,84174.81
3,1,0,1,160941.78
3,2,1,1,143954.99
3,1,1,1,56297.85
5,1,1,1,8404.73
3,2,0,0,30020.09
9,2,0,1,58137.42
0,1,0,0,47472.68
6,2,1,1,19131.71
5,2,1,1,187288.5
5,2,1,1,17603.81
4,2,1,0,67020.03
7,1,0,1,147802.94
1,2,1,1,41610.62
3,2,1,0,44255.65
5,1,0,1,78416.14
5,1,0,1,137254.55
4,1,0,1,151303.48
8,2,0,0,86333.63
9,1,0,0,89801.9
2,1,0,0,29358.57
2,2,1,1,181600.72
5,1,1,0,124118.71
7,1,1,0,38867.46
5,1,1,0,31106.67
1,2,1,0,67611.36
1,2,1,0,77837.63
8,1,0,0,6078.46
6,2,1,1,177896.92
2,1,1,1,123882.73
6,2,1,1,15304.08
1,1,1,1,76569.64
1,2,1,1,120657.32
2,2,1,1,16436.56
0,1,1,1,107667.91
5,2,1,0,95611.47
7,1,0,0,19799.26
2,2,0,1,123214.74
1,2,0,1,71709.12
2,2,1,1,149066.14
5,3,1,0,20451.99
4,1,1,1,32825.5
4,2,1,0,6232.31
8,2,0,1,10357.03
3,2,1,0,147794.63
0,1,0,0,116973.48
6,1,1,0,129964.94
1,1,1,0,92816.86
3,1,1,0,172114.67
3,3,1,0,16649.31
9,2,1,0,144517.19
4,1,0,0,182038.6
5,2,0,0,24210.56
10,2,0,0,172175.9
5,1,1,1,47578.45
2,2,1,1,150694.42
6,2,1,1,177683.02
1,2,0,0,66088.83
2,1,1,0,169291.7
3,1,1,1,117140.41
10,2,1,1,79510.37
9,2,0,1,77108.66
7,3,1,1,9679.28
5,1,1,0,81753.92
1,1,0,0,131372.38
6,1,1,1,25310.82
10,2,0,0,187925.75
3,1,0,0,98820.39
9,2,1,0,64166.7
7,1,0,1,176924.21
6,1,1,1,90055.08
6,1,1,1,72814.31
2,1,0,1,168290.06
6,2,1,0,161767.38
8,2,1,0,44420.18
7,1,0,1,37147.61
8,1,1,1,125381.02
7,1,1,1,149853.89
2,3,0,0,161435.02
8,2,1,1,102925.76
5,2,1,1,70899.27
2,1,0,0,145936.28
5,1,1,0,54227.06
2,1,1,1,59280.79
4,2,1,1,126952.5
0,2,0,1,130567.02
9,1,1,0,73294.48
7,1,1,1,3937.37
2,2,1,0,2383.59
5,2,1,0,14279.44
9,2,1,0,141300.53
2,2,1,0,78140.75
2,2,1,1,117431.1
9,1,1,0,72008.61
5,1,1,1,60887.58
5,1,1,0,194764.83
5,1,1,0,88705.14
6,1,0,0,35817.97
1,1,1,0,31520.4
2,3,1,1,157908.19
2,1,1,0,142200.15
2,2,0,1,182055.36
9,2,0,0,157552.08
2,2,0,0,120284.67
1,1,0,1,24506.95
2,2,0,0,47271.61
4,1,0,0,41176.6
2,2,0,1,9468.64
3,1,0,0,123880.19
6,2,1,0,158887.09
7,1,1,1,117036.38
7,1,1,0,120415.61
9,1,0,0,16064.25
8,2,1,1,52615.62
8,1,0,0,121210.09
8,2,1,0,192247.35
1,2,0,1,68759.57
2,2,0,1,75937.47
8,2,0,0,84569.13
7,1,1,1,190696.35
5,1,0,1,67468.67
1,2,1,1,104435.94
2,1,0,1,47166.55
0,2,1,0,119899.52
8,1,1,1,173498.45
2,2,1,1,93249.26
3,2,1,1,142917.54
6,1,1,0,111755.8
1,1,1,1,108543.21
1,1,1,0,180345.44
8,2,0,0,99444.02
9,1,0,1,109563.28
3,1,1,0,92568.07
6,2,1,1,37976.36
9,1,0,1,103315.74
7,2,1,1,173952.5
0,2,0,1,34673.98
7,2,1,1,46163.44
9,2,0,1,140676.98
4,2,0,1,151738.54
9,1,0,0,14679.81
0,1,0,0,175544.02
5,2,1,1,181964.6
10,1,1,1,136886.86
6,1,1,0,122218.23
10,2,1,0,180439.75
7,2,0,1,190419.81
3,2,1,1,58685.59
8,3,1,1,89017.38
2,2,0,0,50051.42
5,2,1,0,146041.45
8,2,1,0,191166.09
2,1,0,0,103516.08
9,1,1,1,164825.04
6,2,1,0,172557.77
4,2,1,0,84320.94
5,1,0,0,122662.98
8,1,1,0,72085.1
9,1,0,1,110932.24
4,2,1,0,143635.36
8,2,1,1,3710.34
5,2,1,1,179843.33
1,2,1,1,10643.38
2,2,1,1,131167.98
10,2,1,0,10553.31
6,2,1,1,130928.22
5,1,0,1,157003.99
1,1,1,1,138527.56
3,2,1,1,167032.49
6,2,0,0,41642.29
2,2,1,0,9677.0
3,2,1,1,147012.22
5,1,1,1,80553.87
3,1,0,1,30730.95
4,1,0,0,140134.43
6,1,0,0,91936.1
1,1,0,0,178252.63
8,1,0,1,198674.08
5,1,1,0,28266.9
3,1,1,0,92381.01
7,1,0,0,135180.11
6,2,0,0,27330.59
5,2,1,0,125305.34
1,1,1,1,149648.45
0,1,0,1,59887.15
1,2,1,0,45041.32
1,2,0,0,113316.77
8,1,1,1,39087.42
6,2,1,1,7330.59
8,2,0,1,95463.29
4,2,1,0,167848.02
5,1,1,0,93953.84
7,2,0,1,174227.66
9,1,1,1,135399.21
1,2,1,0,195635.3
8,1,1,0,97508.04
2,1,1,0,188083.77
7,1,1,1,116704.25
6,2,0,1,97614.87
4,2,0,0,186884.04
10,2,0,1,131501.72
1,2,1,1,24302.95
1,1,1,0,110510.28
6,2,1,0,108488.33
4,1,1,1,197015.2
8,1,1,1,27689.77
7,3,1,0,9217.55
2,2,1,1,15068.18
7,2,1,0,7797.01
5,2,0,1,4400.32
9,1,0,0,182025.95
1,1,0,1,122763.95
4,2,1,1,38152.01
3,1,1,0,63163.99
9,2,1,1,73418.29
6,1,1,0,17978.68
4,3,1,0,115136.51
6,1,1,0,149575.59
4,1,1,0,60917.24
7,1,1,1,142548.33
7,2,1,1,157878.67
0,1,1,0,12796.43
2,2,1,1,18657.77
3,1,1,1,134589.58
8,1,0,1,10350.74
8,1,0,0,66013.27
2,2,1,1,5907.11
9,1,1,0,74077.91
3,3,1,1,77294.56
8,2,1,0,54359.02
5,1,1,1,156124.93
8,2,1,0,94820.85
6,1,1,0,155155.25
2,1,1,0,128702.1
2,1,1,0,22745.5
1,2,1,0,71865.31
7,2,0,1,84294.82
7,1,1,1,149139.13
5,2,1,0,185489.11
4,1,0,0,176407.15
9,1,1,1,92027.69
6,1,1,1,43932.54
1,1,1,0,115789.25
10,1,1,1,125777.28
7,2,1,0,18461.9
6,2,1,1,79633.38
6,1,1,1,121542.29
4,1,1,0,94739.2
1,1,1,0,93302.29
10,1,1,1,193793.78
6,1,1,0,74835.65
6,1,1,1,56999.9
3,1,1,1,57236.44
3,2,0,0,81483.64
9,2,1,0,26752.56
5,2,0,1,9200.54
1,1,1,0,22447.85
5,3,1,0,189122.89
1,1,1,1,16161.82
9,1,1,1,68600.36
1,2,1,1,447.73
3,1,1,1,15650.73
5,1,1,1,149599.62
8,2,1,1,90304.01
7,1,0,0,115676.38
6,1,0,0,38812.67
9,2,1,1,34338.21
8,2,1,0,823.36
1,1,0,1,135482.26
9,3,1,1,10656.89
3,2,0,1,116467.35
8,1,1,1,96823.32
5,1,0,1,171096.2
4,1,1,1,79881.39
10,1,1,0,157862.82
1,1,1,1,127951.81
8,2,0,0,191074.11
6,1,1,0,157333.69
8,1,1,0,133457.52
8,1,1,0,130789.6
5,2,1,1,128373.88
4,1,1,0,194273.2
5,1,1,1,5684.17
4,1,1,1,131043.2
3,1,0,0,21228.34
8,2,1,1,43250.3
8,1,1,0,4389.4
9,1,0,1,189271.9
0,1,1,1,102284.2
2,2,0,1,156774.94
4,1,0,0,69865.49
0,2,0,1,85523.24
8,2,1,1,51219.8
8,1,0,0,7222.92
6,1,1,1,23971.33
1,1,1,1,132173.31
4,1,1,0,113639.64
7,1,1,1,39768.59
4,3,1,0,108732.96
4,1,1,1,117349.19
5,1,1,1,78004.5
6,1,1,1,152417.79
9,2,0,0,26057.08
3,1,0,0,79972.09
9,2,0,1,107125.79
10,1,1,1,47679.14
3,2,1,1,134509.47
5,2,0,0,153265.31
7,2,0,1,179883.04
5,2,1,0,138882.98
8,1,0,1,9855.81
8,1,1,0,67046.83
4,2,1,0,56388.63
8,1,1,0,77764.37
7,2,1,0,130590.35
0,1,0,0,151912.49
0,2,0,0,151083.8
7,2,1,1,777.37
6,1,0,0,69454.24
1,2,0,1,11723.57
9,2,1,1,91565.25
1,1,1,0,79616.37
0,1,1,0,102299.81
7,2,1,1,104533.51
3,1,1,0,140765.57
5,2,1,0,66214.13
2,2,1,1,139816.1
3,2,0,1,140139.28
7,1,0,0,102297.15
9,2,1,0,145765.83
9,3,0,1,83912.24
3,2,0,1,78439.73
7,1,0,1,6776.92
4,2,1,1,9903.42
1,1,0,0,91561.91
8,2,1,0,4027.02
10,2,1,1,116111.51
1,2,1,1,184023.54
3,2,0,0,67124.48
7,2,1,0,50070.59
5,3,0,0,53793.1
6,2,1,0,45261.47
7,1,1,1,36721.4
6,1,1,0,130009.85
0,1,1,1,175380.77
10,1,1,0,127847.25
3,1,1,1,138231.7
4,2,0,1,48673.18
4,2,1,1,70668.77
3,2,0,1,199505.53
5,1,1,1,169583.18
7,2,1,0,49063.42
7,1,1,0,63337.19
5,1,1,0,60083.11
1,1,1,0,48606.71
6,1,1,0,165580.93
6,2,1,1,194010.12
1,2,0,1,69263.1
3,2,1,1,88698.83
4,1,1,0,63030.97
4,2,1,0,59668.81
6,2,0,0,184230.23
0,1,0,1,64050.19
9,2,1,1,81853.98
10,1,1,1,154642.91
1,1,0,0,145679.6
3,2,0,0,30781.77
4,2,0,1,81622.52
1,2,0,1,196474.35
3,2,0,1,176276.1
0,1,1,0,35113.08
2,1,1,0,64299.82
1,2,1,1,180969.55
1,1,1,1,138176.78
3,1,1,1,86733.61
3,1,1,1,7418.92
5,2,1,0,166376.54
7,1,1,0,140881.2
1,2,1,0,4460.2
4,2,1,1,110472.12
6,2,1,0,86460.28
1,1,1,0,16500.66
4,1,1,0,114020.06
5,1,1,0,131660.31
3,1,1,0,52449.62
4,1,0,1,161465.31
2,1,1,1,20018.79
3,1,1,0,176318.27
6,1,1,1,50488.91
7,1,1,0,30379.6
3,2,1,1,161326.73
3,2,1,0,45348.08
1,1,0,0,180251.68
8,2,0,0,34925.56
7,1,0,0,126555.74
8,1,1,0,187921.3
4,2,1,1,136390.88
9,1,1,0,78566.64
5,1,1,1,166038.27
4,2,1,1,140385.33
4,2,0,0,38629.3
10,1,1,1,24998.75
4,2,1,0,128815.33
6,1,1,0,19376.56
7,1,1,0,31904.31
5,1,1,0,173179.79
